MONTH,ERA5,M_CLM,E_HIRHAM,E_RACMO,H_RACMO,C_RCA,E_RCA,I_RCA,H_RCA,M_RCA,VAR,PERIOD
I,7.8141,13.247,11.103,7.5478,8.6389,13.856,14.972,20.583,18.355,15.655,LE,2076_2100
II,11.838,20.244,14.559,9.7379,11.278,22.757,20.872,29.759,25.721,24.831,LE,2076_2100
III,27.556,39.254,19.761,19.328,21.799,40.549,43.631,48.319,45.865,48.061,LE,2076_2100
IV,55.625,56.72,38.946,43.17,46.738,66.98,70.771,72.626,73.126,73.439,LE,2076_2100
V,82.514,75.819,69.716,74.028,83.62,93.08,96.901,95.896,105.99,103.63,LE,2076_2100
VI,91.523,86.923,91.98,87.158,101.35,115.17,106.04,107.27,112.32,107.32,LE,2076_2100
VII,91.303,85.5,91.178,77.932,79.877,112.56,92.105,91.362,80.524,95.765,LE,2076_2100
VIII,76.221,68.431,69.404,61.835,59.799,89.591,64.81,70.41,59.55,70.768,LE,2076_2100
IX,49.056,46.53,42.693,41.44,40.816,61.089,46.505,50.13,43.904,56.423,LE,2076_2100
X,28.126,28.682,18.592,22.53,23.53,36.573,33.195,36.815,32.38,37.014,LE,2076_2100
XI,13.109,19.649,11.173,10.853,11.493,21.189,19.698,26.711,19.69,23.01,LE,2076_2100
XII,7.4886,15.062,10.312,7.6947,8.5371,12.798,13.835,22.423,15.401,16.564,LE,2076_2100
I,39.196,35.967,25.53,36.597,37.26,51.572,47.868,47.113,47.047,46.962,Rg,1981_2005
II,72.488,64.673,54.905,72.495,73.321,88.4,85.744,81.379,81.972,81.455,Rg,1981_2005
III,118.85,105.36,104.73,141.33,130.2,142.09,142.67,139.14,132.74,133.39,Rg,1981_2005
IV,177.97,149.57,162.7,196.92,190.49,185.65,188,179.95,183.19,179.85,Rg,1981_2005
V,215.1,189.36,194.49,220.76,223.05,219.4,215.56,209.78,228.7,216.46,Rg,1981_2005
VI,217.64,189.25,210.08,212.92,241.01,231.64,230.98,227.8,264.53,235.69,Rg,1981_2005
VII,212.61,170.75,191.69,208.25,225.94,233.92,233.86,236.56,243.66,225.93,Rg,1981_2005
VIII,185.98,145.36,158.06,187.08,182.2,201.17,207.66,200.18,215.01,195.55,Rg,1981_2005
IX,127.58,111.71,106.84,128.75,134.68,145.9,150.97,142.62,154.7,147.8,Rg,1981_2005
X,81.243,69.027,59.156,81.653,80.258,95.288,97.411,94.26,96.098,92.661,Rg,1981_2005
XI,43.176,39.444,29.615,42.006,41.61,55.829,59.344,54.871,56.708,55.762,Rg,1981_2005
XII,29.806,25.434,18.738,28.59,28.199,40.89,40.637,37.731,37.445,36.77,Rg,1981_2005
I,NA,31.294,22.826,34.527,30.706,44.439,44.849,42.645,39.948,43.521,Rg,2076_2100
II,NA,53.924,49.65,73.406,67.156,75.303,79.263,71.525,72.583,72.641,Rg,2076_2100
III,NA,90.537,100.71,125.41,119.59,125.76,128.08,117.71,124.65,122.74,Rg,2076_2100
IV,NA,131.51,154.38,183.87,186.55,171.18,178.07,166.88,175.13,170.19,Rg,2076_2100
V,NA,167.32,181.76,198.37,221.9,202.9,211.82,203.76,229.84,216.34,Rg,2076_2100
VI,NA,168.58,207.43,223.21,251.96,229.04,237.47,239.22,266.68,228.6,Rg,2076_2100
VII,NA,171.83,199.02,225.74,240.1,229.68,248.43,240.15,255.39,232.06,Rg,2076_2100
VIII,NA,152.56,160.39,194.37,199.92,192.97,222.12,203.12,214.58,201.34,Rg,2076_2100
IX,NA,111.6,110.45,140.94,146.03,138.42,157.13,149.17,158.59,144.42,Rg,2076_2100
X,NA,67.57,59.843,83.136,84.147,89.942,93.693,87.568,95.908,89.049,Rg,2076_2100
XI,NA,35.352,26.881,41.67,42.003,50.78,53.039,50.082,52.68,51.994,Rg,2076_2100
XII,NA,23.351,16.799,26.689,24.753,35.631,35.796,32.35,33.549,33.759,Rg,2076_2100
I,27.632,23.764,19.583,23.042,22.39,28.607,32.338,31.963,32.823,32.719,SW_net,1981_2005
II,50.522,45.109,42.548,45.066,45.334,52.019,57.685,53.85,59.493,58.352,SW_net,1981_2005
III,92.659,84.658,82.46,100.12,92.692,101.6,107.75,104.94,104.34,105.87,SW_net,1981_2005
IV,146.35,125.36,132.31,151.64,148.39,149.32,152.44,145.66,150.6,147.77,SW_net,1981_2005
V,176.93,161.47,162.54,177.43,179.32,180.94,178.2,173.26,189.84,179.62,SW_net,1981_2005
VI,179.74,162.49,176.98,172.44,196.13,192.47,192.06,189.47,220.36,196.24,SW_net,1981_2005
VII,177.41,146.48,161.72,169.54,184.24,194.83,194.82,197.1,203.08,188.24,SW_net,1981_2005
VIII,156.64,124.08,133.28,152.36,148.44,167.24,172.64,166.41,178.83,162.58,SW_net,1981_2005
IX,108.49,93.839,89.569,104.41,109.51,120.39,124.53,117.68,127.7,121.97,SW_net,1981_2005
X,69.725,56.625,48.48,65.254,64.365,77.412,79.115,76.708,78.254,75.436,SW_net,1981_2005
XI,35.622,30.859,23.437,31.145,31.572,43.099,46.323,43.14,44.647,44.242,SW_net,1981_2005
XII,22.07,18.604,14.648,19.589,18.163,26.463,28.135,27.332,26.959,27.374,SW_net,1981_2005
I,NA,23.576,17.857,25.002,22.439,33.128,34.57,33.462,31.511,33.903,SW_net,2076_2100
II,NA,42.258,38.858,53.789,49.887,58.417,61.901,57.215,58.232,57.725,SW_net,2076_2100
III,NA,74.625,79.566,96.655,92.827,101.31,104.36,96.144,102.22,100.65,SW_net,2076_2100
IV,NA,110.74,125.55,147.18,149.76,141.03,147.43,138,145.32,141.16,SW_net,2076_2100
V,NA,142.72,151.94,160.79,180.6,168.46,176.13,169.35,191.28,179.96,SW_net,2076_2100
VI,NA,144.72,174.78,182.21,206.27,190.78,197.81,199.28,222.28,190.45,SW_net,2076_2100
VII,NA,147.46,167.92,184.64,196.65,191.42,207.07,200.16,212.94,193.43,SW_net,2076_2100
VIII,NA,130.18,135.26,158.99,163.68,160.45,184.71,168.92,178.5,167.44,SW_net,2076_2100
IX,NA,93.673,92.618,115.13,119.41,114.27,129.73,123.15,130.99,119.21,SW_net,2076_2100
X,NA,55.36,49.089,67.545,68.58,73.394,76.515,71.5,78.373,72.716,SW_net,2076_2100
XI,NA,28.206,21.306,32.83,33.756,40.611,42.713,40.397,42.573,41.905,SW_net,2076_2100
