MONTH,ERA5,CNRM,IPSL,MOHC,MPI,EARTH,VAR,PERIOD
IV,NA,70.947,37.213,68.208,57.985,76.479,LE,2076_2100
V,NA,103.23,57.797,94.604,80.913,101.79,LE,2076_2100
VI,NA,111.85,84.517,97.453,90.841,115.6,LE,2076_2100
VII,NA,92.058,86.438,70.325,88.868,110.27,LE,2076_2100
VIII,NA,68.77,70.715,48.904,63.361,87.134,LE,2076_2100
IX,NA,48.587,43.238,39.686,38.214,58.211,LE,2076_2100
X,NA,29.868,25.827,26.748,20.573,35.727,LE,2076_2100
XI,NA,14.908,21.86,16.013,15.469,19.954,LE,2076_2100
XII,NA,8.2969,25.343,14.352,17.631,15.01,LE,2076_2100
I,39.196,37.782,29.382,40.406,33.823,35.316,Rg,1981_2005
II,72.488,73.143,57.008,71.97,59.765,72.796,Rg,1981_2005
III,118.85,132.44,112.18,122.63,103.06,125.78,Rg,1981_2005
IV,177.97,184.64,182.61,190.4,155.72,176.41,Rg,1981_2005
V,215.1,222.33,236.55,248.04,208.92,217.74,Rg,1981_2005
VI,217.64,247.17,291.64,281.84,222,233.57,Rg,1981_2005
VII,212.61,239.82,298.34,264.03,201.81,227.83,Rg,1981_2005
VIII,185.98,201.12,240.01,224.77,169.29,190.3,Rg,1981_2005
IX,127.58,139.19,153.27,159.29,130.87,138,Rg,1981_2005
X,81.243,87.348,83.835,82.689,76.172,82.506,Rg,1981_2005
XI,43.176,46.046,38.849,43.523,40.935,42.439,Rg,1981_2005
XII,29.806,28.218,22.544,31.864,25.009,27.162,Rg,1981_2005
I,NA,39.696,29.961,35.827,32.218,32.816,Rg,2076_2100
II,NA,73.501,56.695,70.569,54.518,68.713,Rg,2076_2100
III,NA,129,105.57,126.77,99.716,119.1,Rg,2076_2100
IV,NA,188.34,181.47,196.42,149.47,179.09,Rg,2076_2100
V,NA,237.35,245.83,261.55,199.69,216.38,Rg,2076_2100
VI,NA,265.24,306.59,307.13,216.83,244.89,Rg,2076_2100
VII,NA,268.32,307.83,304.14,221.96,246.37,Rg,2076_2100
VIII,NA,216.05,254.4,258.46,193.46,209.55,Rg,2076_2100
IX,NA,150.72,173.98,183.67,136.94,150.16,Rg,2076_2100
X,NA,92.023,90.785,101.88,78.279,86.205,Rg,2076_2100
XI,NA,47.631,39.061,48.064,38.586,39.729,Rg,2076_2100
XII,NA,29.918,21.819,28.71,24.986,25.358,Rg,2076_2100
I,27.632,26.607,21.891,26.116,28.265,NA,SW_net,1981_2005
II,50.522,51.341,41.924,51.952,50.92,NA,SW_net,1981_2005
III,92.659,103.39,85.579,103.37,90.811,NA,SW_net,1981_2005
IV,146.35,153.16,142.31,167.93,135.43,NA,SW_net,1981_2005
V,176.93,185,189.28,217.59,174.29,NA,SW_net,1981_2005
VI,179.74,205.81,236.2,243.82,181.18,NA,SW_net,1981_2005
VII,177.41,200.04,242.36,226.66,164.5,NA,SW_net,1981_2005
VIII,156.64,168.18,194.9,192.51,138.48,NA,SW_net,1981_2005
IX,108.49,116.33,124.21,136.62,109.25,NA,SW_net,1981_2005
