MONTH,ERA5,BCC,CESM-B,CESM-C,CMCC-CESM,CMCC-CMS,CNRM,EARTH,GFDL-C,GFDL-E,HADGEM,INM,IPSL,MPI,MRI,NOR,VAR,PERIOD
XII,NA,-27.178,-26.283,-10.736,-30.185,-20.511,-14.695,-23.712,-24.227,-23.995,-11.646,-13.91,-36.483,-18.798,-29.173,-16.151,H,2076_2100
I,7.8141,20.037,14.612,7.3125,11.761,11.53,6.1993,13.293,14.253,14.652,9.1967,6.308,25.262,17.967,13.048,12.065,LE,1981_2005
II,11.838,26.807,20.087,11.24,13.903,16.185,11.34,17.996,19.409,19.071,17.741,13.8,27.197,27.348,17.317,14.942,LE,1981_2005
III,27.556,37.392,31.297,22.157,19.633,30.908,26.982,36.085,38.277,35.062,33.516,37.245,29.223,41.651,31.569,25.218,LE,1981_2005
IV,55.625,50.789,54.228,43.788,31.812,46.799,54.518,65.746,53.63,57.747,61.752,74.809,33.641,57.266,50.844,41.331,LE,1981_2005
V,82.514,59.595,83.332,71.196,55.486,68.678,81.661,93.662,70.598,75.761,87.916,110.24,56.223,79.278,76.166,67.266,LE,1981_2005
VI,91.523,69.727,107.36,89.694,73.977,81.674,93.658,105.08,85.101,95.114,102.4,123.48,88.65,95.723,95.616,93.5,LE,1981_2005
VII,91.303,62.769,104.55,88.801,73.76,80.655,79.006,103.67,81.244,93.882,91.906,91.442,97.359,90.313,95.943,87.023,LE,1981_2005
VIII,76.221,50.374,80.452,68.063,55.769,59.829,60.708,83.185,62.523,76.846,71.987,45.205,72.51,70.423,74.716,69.742,LE,1981_2005
IX,49.056,37.764,49.633,43.523,38.205,38.874,39.292,56.455,46.114,54.268,48.373,43.813,41.722,44.569,45.448,45.846,LE,1981_2005
X,28.126,30.162,27.796,21.914,27.267,17.956,22.658,31.327,33.928,33.191,24.324,30.732,24.208,23.576,27.042,27.408,LE,1981_2005
XI,13.109,24.84,16.954,11.077,19.463,11.571,10.321,16.409,21.306,22.26,13.023,13.819,20.963,14.335,16.829,19.516,LE,1981_2005
XII,7.4886,20.566,15.083,7.6666,15.496,9.0689,6.5774,10.409,13.689,16.468,8.3382,7.1844,22.311,16.955,13.371,15.287,LE,1981_2005
I,NA,25.659,17.738,13.496,22.128,14.714,10.304,17.077,22.952,19.508,16.468,11.033,24.302,20.814,15.163,17.718,LE,2076_2100
II,NA,29.518,22.705,17.314,24.796,21.413,20.169,24.823,33.531,25.736,23.733,21.762,25.974,30.371,21.711,19.328,LE,2076_2100
III,NA,42.598,33.341,28.784,25.45,33.396,39.682,46.834,45.964,41.183,42.982,46.585,28.798,45.685,36.828,29.04,LE,2076_2100
IV,NA,54.776,53.697,50.033,41.942,50.566,70.947,76.479,64.633,57.808,68.208,84.15,37.213,57.985,57.893,48.703,LE,2076_2100
V,NA,59.788,81.306,78.997,66.85,75.721,103.23,101.79,90.863,78.33,94.604,114.38,57.797,80.913,85.224,74.15,LE,2076_2100
VI,NA,69.824,109.99,98.593,88.399,97.297,111.85,115.6,103.18,103.83,97.453,107.06,84.517,90.841,107.7,96.607,LE,2076_2100
VII,NA,51.109,100.35,91.84,86.927,95.959,92.058,110.27,75.47,97.469,70.325,56.553,86.438,88.868,107.65,91.791,LE,2076_2100
