MONTH,ERA5,BCC,CESM-B,CESM-C,CMCC-CESM,CMCC-CMS,CNRM,EARTH,GFDL-C,GFDL-E,HADGEM,INM,IPSL,MPI,MRI,NOR,VAR,PERIOD
IV,73.268,82.14742558,71.84611392,67.77290128,NA,NA,77.884734,NA,78.85944347,80.18992712,72.91369048,88.6166505,66.87774592,NA,71.94195,74.12050728,RH,1981_2005
V,72.375,75.71118722,70.53999784,69.81255357,NA,NA,76.203867,NA,72.00373119,73.84388276,66.74190476,87.54232279,64.97827165,NA,71.25864,72.83320346,RH,1981_2005
VI,72.981,68.14690083,72.32150364,70.65034438,NA,NA,69.11717121,NA,72.15283439,76.01433888,63.22416667,82.71836866,67.65677227,NA,70.69722,71.31343226,RH,1981_2005
VII,72.382,62.25417343,72.81414921,70.94279809,NA,NA,62.57043575,NA,71.72760819,78.58460011,62.47464286,71.02114842,69.67431569,NA,72.47883,70.7889892,RH,1981_2005
VIII,72.436,65.24787798,72.1740311,73.14707413,NA,NA,65.67103355,NA,72.1148101,81.62711038,64.15178571,62.36355892,72.16534265,NA,74.81042,72.76619223,RH,1981_2005
IX,77.152,70.72248358,76.41808957,75.26888279,NA,NA,73.64795902,NA,77.23023988,85.77515533,72.81119048,79.00515064,76.71365812,NA,77.82256,76.55313114,RH,1981_2005
X,80.788,88.53733421,82.94910533,79.85329951,NA,NA,82.74968153,NA,86.99452309,88.85035198,84.53357143,93.55302629,79.89392592,NA,81.33249,83.17621208,RH,1981_2005
XI,85.311,94.0987294,87.49314809,84.54216549,NA,NA,87.95682322,NA,89.7178093,89.43565666,89.78904762,95.50564537,83.18664711,NA,83.95064,87.41061884,RH,1981_2005
XII,85.35,94.0215239,88.53347017,87.2761457,NA,NA,89.15908961,NA,89.95638906,88.41897541,91.79588294,95.69464734,85.08799445,NA,83.17305,89.46301085,RH,1981_2005
I,NA,94.02427902,86.52541243,82.19879843,NA,NA,89.24673108,NA,89.34900497,88.31238792,89.92714286,95.67325236,82.16387067,NA,81.35914,86.92946741,RH,2076_2100
II,NA,92.8966114,80.68494061,76.37876102,NA,NA,87.1172769,NA,87.28925964,85.82392366,86.35071429,94.25975318,79.20364427,NA,80.18213,83.18543808,RH,2076_2100
III,NA,88.38912601,73.83369358,67.94097917,NA,NA,82.83800944,NA,81.59840429,84.43728887,79.2525,91.72140141,74.36575727,NA,77.89479,77.13584172,RH,2076_2100
IV,NA,78.71076824,68.84489776,63.71173974,NA,NA,80.47396034,NA,74.87396498,77.16429646,70.86464286,89.98341125,64.42964438,NA,75.2531,70.67891947,RH,2076_2100
V,NA,66.26150282,64.9833602,64.25664427,NA,NA,78.51641088,NA,70.69582835,74.52339766,63.49178571,85.80586365,60.42919059,NA,73.37756,66.73389503,RH,2076_2100
VI,NA,62.56641083,63.50963256,62.81253143,NA,NA,70.08874218,NA,67.47836065,76.37378633,52.42845238,74.33511141,57.55128766,NA,72.46717,64.15665027,RH,2076_2100
VII,NA,48.49224375,61.1843575,60.890696,NA,NA,59.79459996,NA,57.57147223,75.53397686,44.09738095,54.82680296,57.39929441,NA,72.76926,62.97107378,RH,2076_2100
VIII,NA,49.02473808,59.9146988,60.75402992,NA,NA,63.05937579,NA,53.98104095,73.58132486,44.11988095,52.23663576,62.67200415,NA,75.38464,63.74042577,RH,2076_2100
IX,NA,60.79446394,66.49462574,65.12115849,NA,NA,72.55591348,NA,64.63444398,80.41750545,55.97071429,75.10885955,68.13321494,NA,78.90234,71.06897372,RH,2076_2100
X,NA,84.16062256,78.50706407,75.355582,NA,NA,82.70096173,NA,80.74895498,87.70357759,75.34416667,93.42839043,77.32984248,NA,82.43453,79.65569859,RH,2076_2100
XI,NA,93.88369469,86.55054019,83.13385244,NA,NA,88.22396477,NA,88.89033405,89.61793966,87.28357143,96.51123114,81.29485018,NA,84.42808,85.60876823,RH,2076_2100
XII,NA,93.95995258,87.55459,85.52435765,NA,NA,90.08423105,NA,90.81593523,89.11093613,90.40285714,96.5805047,82.87533435,NA,84.06126,87.96940845,RH,2076_2100
I,NA,NA,NA,2.593615935,4.706709315,3.984937106,4.439127035,3.819263447,4.449881526,4.548120045,2.92441276,NA,3.960610765,4.111762816,3.690135094,NA,u10,1981_2005
II,NA,NA,NA,2.616061734,4.622635492,3.70190027,4.288223936,3.59392945,4.106716567,4.386452962,3.312347656,NA,3.645504728,4.061988491,3.584225602,NA,u10,1981_2005
III,NA,NA,NA,2.615483077,4.23211892,3.509398705,3.741755489,3.536814065,3.9912364,4.03186568,3.28884375,NA,3.419341634,3.870058735,3.371946463,NA,u10,1981_2005
IV,NA,NA,NA,2.531425186,3.849086901,3.443291667,3.54104767,3.388768081,3.624963023,3.608973967,3.041292969,NA,3.133328551,3.664494147,3.086630076,NA,u10,1981_2005
V,NA,NA,NA,2.324009666,3.512936775,3.142073033,3.183821434,3.265762076,3.400005081,3.362928229,2.733088542,NA,2.782248711,3.366366169,2.695646098,NA,u10,1981_2005
VI,NA,NA,NA,2.199211167,3.048643214,3.064607763,3.110310161,3.084662888,3.106219115,3.043090098,2.386009115,NA,2.156036188,3.423185729,2.284691645,NA,u10,1981_2005
VII,NA,NA,NA,2.133899223,2.753754628,3.014361391,2.817946822,2.897601251,2.886433189,2.920172736,2.386003906,NA,1.875513273,3.468854129,1.976201595,NA,u10,1981_2005
VIII,NA,NA,NA,2.141306795,3.138796995,3.280671922,2.740067376,3.025153294,3.11101886,3.009916345,2.394220052,NA,1.905805088,3.414026501,1.830497482,NA,u10,1981_2005
IX,NA,NA,NA,2.184406357,3.62134769,3.297282123,2.912380168,3.130414042,3.431135833,3.398814646,2.3824375,NA,2.33941347,3.491653479,2.2368548,NA,u10,1981_2005
X,NA,NA,NA,2.189065505,4.029240548,3.495472021,3.313618741,3.235084876,3.760070088,3.60164047,2.392088542,NA,2.895091057,3.893014084,2.595409471,NA,u10,1981_2005
XI,NA,NA,NA,2.289369374,4.271022216,3.791276582,3.871008282,3.399734261,4.129488628,4.066614857,2.603104167,NA,3.543631376,3.893594759,3.063513709,NA,u10,1981_2005
XII,NA,NA,NA,2.472529544,4.677493073,3.711899191,4.411751029,3.511120685,4.241754623,4.344188648,2.720152452,NA,3.940878123,4.327110616,3.513967063,NA,u10,1981_2005
I,NA,NA,NA,2.813814105,4.39640202,3.741896426,4.47280272,3.528950333,4.644991141,4.535554698,2.851276042,NA,3.957351398,4.109319012,4.257071033,NA,u10,2076_2100
II,NA,NA,NA,2.72332434,4.447588065,3.753972904,4.279285467,3.463360336,4.633256165,4.19312802,3.012184896,NA,3.733429572,4.144623011,4.256276808,NA,u10,2076_2100
III,NA,NA,NA,2.669120859,4.013363056,3.571235248,3.832950253,3.495427107,3.905571225,3.872268568,3.149527344,NA,3.406334047,4.128528873,4.037794132,NA,u10,2076_2100
IV,NA,NA,NA,2.55111533,3.541712206,3.424809697,3.514788659,3.295944566,3.499891016,3.505389509,2.751082031,NA,3.11074029,3.712107032,3.629664991,NA,u10,2076_2100
V,NA,NA,NA,2.324994866,3.313539432,3.210909586,3.194176316,3.212710254,3.02473936,3.155479407,2.477134115,NA,2.636519499,3.46917731,3.312795582,NA,u10,2076_2100
VI,NA,NA,NA,2.199439326,2.791708233,2.979379768,3.019544142,3.060829327,2.713869132,2.776466157,2.350628906,NA,1.951199961,3.354731087,2.815491911,NA,u10,2076_2100
VII,NA,NA,NA,2.127188003,2.889261012,2.900910004,2.888665332,2.783540032,2.657784537,2.651128287,2.441869792,NA,1.712195308,3.242495034,2.447553292,NA,u10,2076_2100
VIII,NA,NA,NA,2.037910071,3.030640356,2.954238009,2.858164249,2.742061075,2.733548737,2.741645572,2.282213542,NA,1.782795465,3.064279191,2.40888851,NA,u10,2076_2100
IX,NA,NA,NA,2.049827682,3.564660775,3.317472793,2.879297287,2.935846617,2.97593822,3.019943525,2.183863281,NA,2.072382454,3.619797125,2.675923371,NA,u10,2076_2100
X,NA,NA,NA,2.122043014,4.175574031,3.463374928,3.269450295,3.29472183,3.696253528,3.451616712,2.305652344,NA,2.795205417,3.723051707,3.322080095,NA,u10,2076_2100
XI,NA,NA,NA,2.330592926,4.493745182,3.759193946,3.870237196,3.313728405,4.383682135,3.927864639,2.425686198,NA,3.478206993,4.091965649,3.874870372,NA,u10,2076_2100
XII,NA,NA,NA,2.585388524,4.449567914,3.975392107,4.194291829,3.470359509,4.606051118,4.424538034,2.706869792,NA,4.064399409,4.325675552,4.194734266,NA,u10,2076_2100
I,NA,1.243778806,NA,NA,1.9575,NA,NA,NA,NA,0.0027533,0.96659,1.1597,1.6821,0.54825,1.4787,1.8909,LAI,1981_2005
II,NA,1.17251633,NA,NA,1.6695,NA,NA,NA,NA,0,0.9644,0.93861,1.5649,0.48554,1.5923,1.4632,LAI,1981_2005
III,NA,1.471960698,NA,NA,1.5592,NA,NA,NA,NA,0.0012295,0.97239,1.3839,1.4965,0.53515,2.0004,1.6824,LAI,1981_2005
IV,NA,2.009439186,NA,NA,1.7512,NA,NA,NA,NA,0.024385,1.0673,2.4282,1.6416,0.90569,3.8574,1.95,LAI,1981_2005
V,NA,2.702796586,NA,NA,2.2473,NA,NA,NA,NA,0.75252,1.5652,2.7861,2.8127,1.9294,6.2467,2.2937,LAI,1981_2005
VI,NA,3.520983349,NA,NA,2.8918,NA,NA,NA,NA,1.9103,2.3928,2.7262,3.9391,2.8939,6.804,2.379,LAI,1981_2005
VII,NA,4.174784256,NA,NA,3.2668,NA,NA,NA,NA,2.6927,2.9737,2.3515,4.3515,3.011,6.8235,2.3888,LAI,1981_2005
VIII,NA,4.540846514,NA,NA,3.3135,NA,NA,NA,NA,3.1166,3.1646,1.9615,4.1721,2.7976,6.8224,2.3584,LAI,1981_2005
IX,NA,3.440197575,NA,NA,3.1487,NA,NA,NA,NA,3.3754,2.96,2.3061,3.9397,2.1866,6.7435,2.3834,LAI,1981_2005
X,NA,2.22310094,NA,NA,2.8945,NA,NA,NA,NA,3.1358,1.8425,2.724,3.348,1.5661,5.4289,2.2848,LAI,1981_2005
XI,NA,1.632548743,NA,NA,2.6068,NA,NA,NA,NA,1.8016,1.0989,2.4168,2.2968,0.9589,3.5248,2.0813,LAI,1981_2005
XII,NA,1.372099097,NA,NA,2.2893,NA,NA,NA,NA,0.58845,0.97221,1.9578,1.8859,0.68555,2.3807,2.0908,LAI,1981_2005
I,NA,1.316865717,NA,NA,2.1037,NA,NA,NA,NA,0.16237,1.1758,2.1929,1.8359,0.67444,2.7146,2.0945,LAI,2076_2100
II,NA,1.247549986,NA,NA,1.9316,NA,NA,NA,NA,0.050821,1.1675,2.1358,1.7892,0.67065,4.0195,2.0333,LAI,2076_2100
III,NA,1.586283575,NA,NA,1.9443,NA,NA,NA,NA,0.024632,1.2345,2.4505,1.8337,0.86533,6.4158,2.012,LAI,2076_2100
IV,NA,2.226246504,NA,NA,2.195,NA,NA,NA,NA,0.13346,1.6272,2.7932,2.4752,1.6063,9.4363,2.2993,LAI,2076_2100
V,NA,3.10291903,NA,NA,2.7749,NA,NA,NA,NA,1.6886,2.5534,2.8004,3.8372,2.6782,10.672,2.6035,LAI,2076_2100
VI,NA,4.298148572,NA,NA,3.2748,NA,NA,NA,NA,3.5907,3.4052,2.5355,4.3811,3.0635,10.75,2.647,LAI,2076_2100
VII,NA,5.216167408,NA,NA,3.3395,NA,NA,NA,NA,4.4593,3.6312,1.9761,4.1833,2.8646,10.751,2.6353,LAI,2076_2100
VIII,NA,5.488356669,NA,NA,3.1949,NA,NA,NA,NA,4.7512,3.6547,1.6987,3.8388,2.1576,10.751,2.4921,LAI,2076_2100
IX,NA,3.917712014,NA,NA,3.0272,NA,NA,NA,NA,4.8798,3.639,2.1729,3.6341,1.7685,10.744,2.3646,LAI,2076_2100
X,NA,2.38718829,NA,NA,2.8195,NA,NA,NA,NA,4.9626,3.4525,2.7585,3.561,1.6352,10.052,2.3704,LAI,2076_2100
XI,NA,1.726542298,NA,NA,2.5772,NA,NA,NA,NA,2.961,2.3495,2.756,2.8606,1.3371,8.3213,2.0968,LAI,2076_2100
XII,NA,1.450562649,NA,NA,2.3244,NA,NA,NA,NA,1.31,1.3723,2.4392,1.9885,0.84933,6.3946,2.0987,LAI,2076_2100
I,NA,94.869,NA,87.669,NA,NA,92.43,NA,89.812,88.456,91.423,94.836,86.241,NA,81.336,90.36,RH_d,1981_2005
II,NA,92.288,NA,80.987,NA,NA,89.94,NA,87.516,85.835,86.21,92.968,85.647,NA,77.351,85.58,RH_d,1981_2005
III,NA,88.088,NA,70.979,NA,NA,83.614,NA,85.039,85.28,79.183,87.794,76.848,NA,74.606,78.163,RH_d,1981_2005
IV,NA,81.246,NA,66.047,NA,NA,77.417,NA,78.192,80.135,71.811,87.668,66.516,NA,73.271,72.99,RH_d,1981_2005
V,NA,74.226,NA,68.128,NA,NA,75.415,NA,70.842,73.496,65.258,86.459,64.748,NA,71.059,71.547,RH_d,1981_2005
VI,NA,66.107,NA,69.294,NA,NA,68.087,NA,70.912,75.753,61.615,80.721,67.37,NA,70.263,70.095,RH_d,1981_2005
VII,NA,60.015,NA,69.557,NA,NA,61.034,NA,70.346,78.335,60.829,66.942,69.296,NA,70.977,69.59,RH_d,1981_2005
VIII,NA,62.733,NA,71.902,NA,NA,63.98,NA,70.72,81.497,62.51,55.53,71.798,NA,74.674,71.505,RH_d,1981_2005
IX,NA,68.801,NA,73.926,NA,NA,72.441,NA,76.467,85.923,71.579,74.847,76.48,NA,78.054,75.461,RH_d,1981_2005
X,NA,88.012,NA,78.834,NA,NA,82.49,NA,87.169,89.156,84.249,92.267,79.964,NA,81.526,82.686,RH_d,1981_2005
XI,NA,94.267,NA,84.273,NA,NA,88.804,NA,90.236,89.816,89.945,94.733,83.454,NA,83.609,87.636,RH_d,1981_2005
XII,NA,94.922,NA,87.899,NA,NA,91.184,NA,90.482,88.81,92.153,95.316,85.382,NA,84.027,90.029,RH_d,1981_2005
I,NA,94.269,NA,82.382,NA,NA,89.879,NA,89.791,88.659,90.355,95.214,82.425,NA,81.946,87.209,RH_d,2076_2100
II,NA,92.881,NA,75.693,NA,NA,87.511,NA,87.604,86.188,85.941,93.761,79.246,NA,80.483,83.163,RH_d,2076_2100
III,NA,87.972,NA,66.616,NA,NA,82.822,NA,81.305,84.675,78.234,91.068,74.241,NA,77.927,76.344,RH_d,2076_2100
IV,NA,77.549,NA,61.402,NA,NA,79.978,NA,73.877,76.904,69.762,89.286,64.202,NA,74.868,69.139,RH_d,2076_2100
V,NA,64.429,NA,62.035,NA,NA,77.901,NA,69.278,74.049,60.921,84.435,60.272,NA,72.871,64.909,RH_d,2076_2100
VI,NA,60.399,NA,61.491,NA,NA,69.158,NA,65.701,75.96,49.453,71.579,57.362,NA,72.037,62.6,RH_d,2076_2100
VII,NA,46.115,NA,58.985,NA,NA,58.39,NA,55.17,74.94,40.984,49.573,57.193,NA,72.382,61.437,RH_d,2076_2100
VIII,NA,46.577,NA,58.383,NA,NA,61.563,NA,51.379,72.865,42.84,44.987,62.36,NA,75.102,62.079,RH_d,2076_2100
IX,NA,58.759,NA,62.322,NA,NA,71.374,NA,62.625,80.101,53.515,70.566,67.806,NA,78.72,69.616,RH_d,2076_2100
X,NA,83.469,NA,73.789,NA,NA,82.385,NA,80.286,87.796,75.35,92.344,77.231,NA,82.474,78.849,RH_d,2076_2100
XI,NA,93.689,NA,82.406,NA,NA,88.563,NA,89.314,89.979,87.754,95.931,81.518,NA,84.754,85.535,RH_d,2076_2100
XII,NA,93.977,NA,85.564,NA,NA,90.816,NA,91.363,89.562,91.075,96.045,83.166,NA,84.469,88.16,RH_d,2076_2100
I,NA,0.034242,NA,0.084486,NA,NA,0.047732,NA,0.062521,0.068963,0.050092,0.030408,0.10168,NA,0.12047,0.067589,VPD_d,1981_2005
II,NA,0.051286,NA,0.14239,NA,NA,0.068365,NA,0.076773,0.078667,0.089357,0.044881,0.10392,NA,0.16772,0.11504,VPD_d,1981_2005
III,NA,0.093981,NA,0.26987,NA,NA,0.1334,NA,0.11948,0.10599,0.1727,0.098656,0.20062,NA,0.2191,0.19995,VPD_d,1981_2005
IV,NA,0.20381,NA,0.4179,NA,NA,0.23146,NA,0.25357,0.22895,0.34365,0.12972,0.37062,NA,0.31038,0.30282,VPD_d,1981_2005
V,NA,0.39669,NA,0.52501,NA,NA,0.34678,NA,0.46307,0.40715,0.65182,0.20304,0.51442,NA,0.45079,0.42875,VPD_d,1981_2005
VI,NA,0.76208,NA,0.65395,NA,NA,0.7147,NA,0.57341,0.45392,0.94366,0.3924,0.65803,NA,0.60028,0.62419,VPD_d,1981_2005
VII,NA,1.0247,NA,0.73806,NA,NA,1.1016,NA,0.66722,0.43426,1.045,0.86965,0.7486,NA,0.63738,0.6679,VPD_d,1981_2005
VIII,NA,0.88392,NA,0.63217,NA,NA,0.90962,NA,0.64332,0.365,0.92656,1.2016,0.64248,NA,0.52579,0.60922,VPD_d,1981_2005
IX,NA,0.61384,NA,0.45587,NA,NA,0.49875,NA,0.43271,0.20394,0.51062,0.47699,0.39869,NA,0.35564,0.41309,VPD_d,1981_2005
X,NA,0.15077,NA,0.26751,NA,NA,0.21519,NA,0.15229,0.11445,0.17196,0.089121,0.23652,NA,0.21169,0.22267,VPD_d,1981_2005
XI,NA,0.047821,NA,0.14555,NA,NA,0.089874,NA,0.080467,0.088106,0.075823,0.041662,0.14988,NA,0.13269,0.11525,VPD_d,1981_2005
XII,NA,0.036436,NA,0.090235,NA,NA,0.059418,NA,0.063593,0.075576,0.044477,0.032519,0.11486,NA,0.1063,0.077252,VPD_d,1981_2005
I,NA,0.049094,NA,0.15908,NA,NA,0.081075,NA,0.094385,0.087383,0.076013,0.036468,0.15719,NA,0.13556,0.11549,VPD_d,2076_2100
II,NA,0.062532,NA,0.2453,NA,NA,0.10904,NA,0.12803,0.10035,0.12038,0.048002,0.19768,NA,0.17162,0.1515,VPD_d,2076_2100
III,NA,0.12378,NA,0.40935,NA,NA,0.16364,NA,0.23137,0.12934,0.2411,0.081277,0.2822,NA,0.22424,0.27198,VPD_d,2076_2100
IV,NA,0.31011,NA,0.62616,NA,NA,0.2425,NA,0.43079,0.31254,0.48992,0.12925,0.51973,NA,0.33846,0.45718,VPD_d,2076_2100
V,NA,0.75276,NA,0.84994,NA,NA,0.36801,NA,0.64793,0.45492,1.056,0.27751,0.77797,NA,0.49039,0.69125,VPD_d,2076_2100
VI,NA,1.0959,NA,1.1514,NA,NA,0.80672,NA,1.0651,0.53414,2.0972,0.82109,1.2709,NA,0.65996,1.003,VPD_d,2076_2100
VII,NA,1.9921,NA,1.5091,NA,NA,1.4578,NA,1.7522,0.66809,2.8001,1.829,1.5228,NA,0.72067,1.2049,VPD_d,2076_2100
VIII,NA,1.9464,NA,1.4791,NA,NA,1.284,NA,2.0154,0.73486,2.423,1.9096,1.23,NA,0.58882,1.1904,VPD_d,2076_2100
IX,NA,1.1254,NA,1.0091,NA,NA,0.68692,NA,1.1735,0.40669,1.4065,0.68259,0.83547,NA,0.4197,0.69049,VPD_d,2076_2100
X,NA,0.29332,NA,0.46236,NA,NA,0.26539,NA,0.40948,0.1539,0.46286,0.10445,0.36111,NA,0.24257,0.34307,VPD_d,2076_2100
XI,NA,0.068122,NA,0.20855,NA,NA,0.12198,NA,0.13264,0.10213,0.13004,0.038419,0.21229,NA,0.15311,0.1735,VPD_d,2076_2100
XII,NA,0.055427,NA,0.13994,NA,NA,0.078368,NA,0.084785,0.088333,0.075886,0.031956,0.16262,NA,0.13028,0.11662,VPD_d,2076_2100
I,NA,0.043236,NA,0.04621,NA,NA,0.04048,NA,0.045298,0.043749,0.03824,0.043481,0.047148,NA,0.046445,0.047887,delta_d,1981_2005
II,NA,0.045184,NA,0.050548,NA,NA,0.042948,NA,0.046223,0.042894,0.043747,0.044562,0.0456,NA,0.052072,0.053688,delta_d,1981_2005
III,NA,0.052746,NA,0.060618,NA,NA,0.053599,NA,0.054002,0.051671,0.055365,0.055287,0.054427,NA,0.05868,0.06174,delta_d,1981_2005
IV,NA,0.066857,NA,0.076759,NA,NA,0.066318,NA,0.071229,0.069951,0.0758,0.069986,0.070028,NA,0.074355,0.073699,delta_d,1981_2005
V,NA,0.087379,NA,0.099503,NA,NA,0.086139,NA,0.093682,0.091941,0.10766,0.089256,0.090708,NA,0.094766,0.094428,delta_d,1981_2005
VI,NA,0.11836,NA,0.12294,NA,NA,0.12292,NA,0.11359,0.11203,0.13642,0.10835,0.12149,NA,0.11945,0.12546,delta_d,1981_2005
VII,NA,0.13205,NA,0.13741,NA,NA,0.14862,NA,0.12618,0.117,0.14442,0.12241,0.14273,NA,0.12876,0.12924,delta_d,1981_2005
VIII,NA,0.12527,NA,0.12958,NA,NA,0.13739,NA,0.12103,0.11414,0.13512,0.11698,0.13395,NA,0.12219,0.12592,delta_d,1981_2005
IX,NA,0.10437,NA,0.10478,NA,NA,0.10442,NA,0.10229,0.090641,0.10299,0.0896,0.10286,NA,0.098541,0.10292,delta_d,1981_2005
X,NA,0.073314,NA,0.080345,NA,NA,0.076999,NA,0.07591,0.071392,0.071132,0.069675,0.076798,NA,0.073922,0.083424,delta_d,1981_2005
XI,NA,0.055827,NA,0.062534,NA,NA,0.053812,NA,0.057333,0.059919,0.052757,0.058172,0.060439,NA,0.056091,0.063578,delta_d,1981_2005
XII,NA,0.046549,NA,0.051028,NA,NA,0.044902,NA,0.048562,0.049971,0.038593,0.05157,0.05173,NA,0.047938,0.054058,delta_d,1981_2005
I,NA,0.056321,NA,0.060717,NA,NA,0.054798,NA,0.062578,0.054348,0.053596,0.055976,0.059106,NA,0.05388,0.061911,delta_d,2076_2100
II,NA,0.057808,NA,0.064965,NA,NA,0.05885,NA,0.067876,0.053837,0.057932,0.057335,0.062139,NA,0.060166,0.061908,delta_d,2076_2100
III,NA,0.065437,NA,0.076059,NA,NA,0.064259,NA,0.076129,0.058447,0.07126,0.06484,0.069522,NA,0.066975,0.074839,delta_d,2076_2100
IV,NA,0.079894,NA,0.095074,NA,NA,0.078022,NA,0.09511,0.081419,0.095659,0.078989,0.088624,NA,0.083753,0.091991,delta_d,2076_2100
V,NA,0.11349,NA,0.12644,NA,NA,0.10101,NA,0.12214,0.10401,0.14579,0.098522,0.11609,NA,0.10777,0.11738,delta_d,2076_2100
VI,NA,0.14217,NA,0.1618,NA,NA,0.14271,NA,0.16486,0.12976,0.2084,0.1294,0.16764,NA,0.1382,0.15285,delta_d,2076_2100
VII,NA,0.1822,NA,0.19036,NA,NA,0.18015,NA,0.19834,0.14662,0.23624,0.15681,0.1963,NA,0.15101,0.17105,delta_d,2076_2100
VIII,NA,0.17977,NA,0.18377,NA,NA,0.1731,NA,0.21007,0.14475,0.2145,0.14701,0.18197,NA,0.13823,0.16998,delta_d,2076_2100
IX,NA,0.13962,NA,0.14499,NA,NA,0.13092,NA,0.16232,0.11487,0.16052,0.10363,0.14786,NA,0.11589,0.13077,delta_d,2076_2100
X,NA,0.096192,NA,0.10442,NA,NA,0.092381,NA,0.11241,0.081797,0.1064,0.076894,0.097221,NA,0.086789,0.10004,delta_d,2076_2100
XI,NA,0.070366,NA,0.076593,NA,NA,0.069672,NA,0.079906,0.069052,0.069871,0.065637,0.074491,NA,0.067246,0.078734,delta_d,2076_2100
XII,NA,0.06087,NA,0.064647,NA,NA,0.056806,NA,0.06572,0.059216,0.057536,0.058007,0.064211,NA,0.058925,0.066917,delta_d,2076_2100
