MONTH,ERA5,AWI,BCC,CESM2,CMCC_C,CMCC_E,CNRM,EARTH,EARTH_C,EARTH_V,GFDL_C,GFDL_E,HADGEM,INM,IPSL,MPI,MRI,NOR,TAI,VAR,PERIOD
VIII,NA,37.62037813,33.685,31.211,36.198,38.343,46.592,56.605,49.414,63.479,92.546,87.402,28.325,28.613,53.523,51.708,69.841,30.212,27.903,P,2076_2100
IX,NA,41.69400247,40.272,38.696,38.999,33.176,59.116,45.837,57.441,56.809,84.405,71.158,28.02,47.949,60.825,56.94,66.908,36.565,32.05,P,2076_2100
X,NA,48.85467139,69.799,59.518,53.813,48.908,77.471,66.146,64.448,74.323,84.977,73.484,45.622,72.492,54.722,67.448,85.508,57.681,54.133,P,2076_2100
XI,NA,88.74789406,88.911,84.034,63.839,69.862,74.274,71.996,73.271,77.417,78.384,77.15,65.999,75.4,70.333,81.012,88.592,62.397,67.43,P,2076_2100
XII,NA,96.32234112,89.778,94.661,68.035,69.868,66.806,78.941,74.853,75.377,83.399,84.844,76.099,77.565,83.468,90.71,69.285,78.192,82.336,P,2076_2100
I,-1.38,-1.3262,-0.60099,1.0048,0.86976,1.2063,-4.1974,-2.2676,-2.0048,-2.6778,-3.2527,-2.315,-2.6199,-2.1763,-3.47,-2.1426,0.53284,-0.062839,1.5608,Ta,1981_2005
II,-0.64,-1.0784,-0.66832,2.6912,1.7158,0.82453,-4.5783,-2.6946,-0.43657,-1.6936,-2.5329,-2.5496,-1.3848,-0.87785,-2.18,-1.9176,2.1759,1.843,2.6852,Ta,1981_2005
III,3.2,2.3942,2.5017,5.2978,4.7929,3.7005,1.18,1.2958,2.5637,1.9345,0.93513,0.24398,1.287,2.5528,2.19,1.9832,4.0249,4.8858,5.5425,Ta,1981_2005
IV,7.62,7.0651,6.3162,9.2255,8.4659,8.6493,6.7564,6.1309,7.9963,7.1256,6.2715,3.8323,5.5219,8.4613,6.47,6.8105,7.6332,8.1036,9.0756,Ta,1981_2005
V,12.99,12.553,10.967,13.736,12.656,12.801,11.542,11.289,12.546,11.804,11.41,10.421,10.881,13.315,11.77,12.212,12.603,12.695,13.815,Ta,1981_2005
VI,15.72,16.115,15.41,17.297,16.762,16.813,16.131,15.264,16.764,15.684,15.503,16.287,15.377,16.692,16.4,15.666,16.726,15.733,17.571,Ta,1981_2005
VII,17.9,17.95,17.626,18.055,19.605,19.724,18.657,16.56,18.397,17.518,17.004,17.67,17.532,20.221,19.76,17.366,18.336,17.646,19.868,Ta,1981_2005
VIII,17.84,17.745,16.853,18.39,19.366,18.307,18.005,15.97,17.119,16.623,15.819,16.008,16.256,19.366,18.61,16.508,17.038,18.212,18.72,Ta,1981_2005
IX,13.62,14.806,12.947,15.728,15.188,14.298,14.02,13.369,14.879,13.75,12.69,12.511,13.49,12.874,14.95,13.273,13.81,15.117,13.983,Ta,1981_2005
X,9.07,9.0144,7.8293,10.688,9.4406,8.9857,7.897,8.1612,9.2887,9.3416,7.6515,7.5994,7.871,7.8499,9.61,8.1758,9.4193,9.4469,8.9188,Ta,1981_2005
XI,3.26,3.716,3.1909,5.565,5.0217,4.5774,2.4611,2.1231,3.5831,3.385,2.2957,2.4799,2.9254,4.1017,4.2,2.192,5.0172,4.2313,5.2858,Ta,1981_2005
XII,-0.31,0.44674,1.1219,2.4517,2.4913,2.2898,-2.2318,-2.1517,-0.11651,-1.0974,-2.3037,-0.37566,-1.7943,0.26015,-1.01,-1.1694,1.7966,1.2349,2.0744,Ta,1981_2005
I,NA,4.6094,3.1067,5.4241,5.88,5.5129,2.4882,4.3955,4.6004,3.8855,2.5648,2.5774,3.9969,2.8287,5.31,2.2267,4.5868,3.1524,5.6394,Ta,2076_2100
II,NA,4.6233,3.6199,5.8999,6.6442,6.6058,3.0375,5.2597,5.0881,4.1833,3.5716,2.7355,4.0137,3.0711,4.98,3.3989,5.9269,4.8877,6.7023,Ta,2076_2100
III,NA,7.0289,5.7108,8.2527,9.2302,8.6371,5.9763,7.0727,7.7446,7.4891,6.532,4.3431,6.4558,6.3829,7.26,5.5726,7.3156,7.4189,9.3042,Ta,2076_2100
IV,NA,11.843,9.5786,13.266,13.441,12.318,10.419,11.028,11.455,11.085,11.277,8.0943,11.227,11.195,11.63,9.5232,10.607,11.509,13.251,Ta,2076_2100
V,NA,16.518,14.476,17.595,18.423,17.936,16.26,15.967,16.843,16.174,16.8,14.11,16.383,15.992,17.41,14.843,15.394,15.946,19.303,Ta,2076_2100
VI,NA,20.61,19.6,23.547,24.398,23.198,21.875,20.132,21.024,20.653,21.481,20.32,22.527,20.922,23.83,19.702,20.547,20.959,24.798,Ta,2076_2100
VII,NA,24.729,23.916,25.557,28.607,26.805,24.527,23.983,24.562,24.074,23.636,21.738,25.61,26.557,28.13,22.176,22.586,25.443,28.526,Ta,2076_2100
VIII,NA,26.516,23.046,25.952,28.499,27.02,24.664,25.228,25.755,24.867,22.849,20.904,26.065,25.507,28.51,23.251,21.575,25.422,28.359,Ta,2076_2100
IX,NA,21.226,18.971,21.847,22.607,21.608,20.133,21.214,21.47,20.786,18.293,16.235,21.492,17.438,22.34,18.732,18.299,20.989,22.464,Ta,2076_2100
X,NA,15.382,12.668,15.628,15.516,14.797,13.219,15.468,15.395,15.126,13.268,11.127,15.372,11.115,16.45,12.368,12.78,13.587,15.533,Ta,2076_2100
XI,NA,8.8112,8.0213,9.6061,10.368,9.8807,7.2744,8.52,9.1149,8.4677,7.6181,6.3667,9.3335,7.0065,11.24,6.5457,8.1234,7.6299,9.857,Ta,2076_2100
XII,NA,5.593,4.8769,6.3931,7.2084,6.4831,3.3479,6.0487,5.4036,4.7232,4.0448,3.4277,4.8244,4.2314,6.45,3.0451,4.9954,4.3658,7.0056,Ta,2076_2100
I,83.523,95.8269,95.8269,84.288,88.58,87.693,85.699,83.631,84.946,85.136,87.97,87.93,91.387,89.259,94.3056948,95.317,82.846,85.431,85.419,RH,1981_2005
II,80.431,95.00886756,94.43812366,80.02,83.868,84.692,81.887,81.39,82.481,83.092,84.452,86.68,87.936,83.248,93.35607924,95.62,80.578,79.995,79.365,RH,1981_2005
III,77.124,90.98206204,89.8322471,71.253,77.278,78.456,77.392,78.809,79.093,79.996,79.648,88.089,82.832,75.788,87.69218264,90.357,77.787,70.071,71.578,RH,1981_2005
IV,73.268,81.87225584,80.99604076,64.396,73.017,72.117,72.338,75.954,75.971,75.618,77.471,87.474,76.828,68.143,77.00744657,80.747,74.381,63.4,67.485,RH,1981_2005
V,72.375,77.14961931,73.22750424,70.198,71.552,71.373,68.446,72.53,73.177,74.142,76.118,83.78,75.295,67.814,70.59252645,76.731,72.091,69.063,67.549,RH,1981_2005
VI,72.981,78.49405996,68.71978526,74.678,70.948,70.497,64.679,72.052,71.122,72.298,75.857,79.007,73.019,62.281,68.6174028,79.359,71.619,73.338,67.034,RH,1981_2005
VII,72.382,75.94685968,64.90147823,70.859,66.547,67.858,58.599,71.57,69.32,70.658,76.539,79.636,72.074,50.585,65.33324826,78.508,73.041,69.381,64.621,RH,1981_2005
VIII,72.436,73.36044474,63.44045222,63.243,65.062,66.923,59.187,71.915,71.488,71.227,78.987,83.003,73.297,46.905,65.23853631,77.669,75.22,61.411,66.238,RH,1981_2005
IX,77.152,73.69918722,67.24696085,65.824,70.677,71.683,65.319,74.198,73.88,73.531,82.38,87.072,75.732,61.689,70.05608015,79.642,77.058,64.023,70.388,RH,1981_2005
X,80.788,82.38834515,83.75073751,73.831,79.302,80.175,78.038,80.249,80.468,80.975,85.184,90.117,81.894,75.376,78.41561575,85.903,80.826,73.001,77.475,RH,1981_2005
XI,85.311,92.17732252,93.68208159,82.174,86.596,87.465,84.028,85.888,87.013,86.44,88.379,89.678,88.896,84.127,87.99738359,93.706,82.584,81.47,83.948,RH,1981_2005
XII,85.35,94.51048806,95.8269,86.069,89.667,89.59,85.93,84.474,85.8,85.526,90.167,86.966,91.19,87.649,93.46658939,95.326,84.208,85.812,87.735,RH,1981_2005
I,NA,92.47658074,93.89225415,83.647,85.861,85.75,86.696,86.401,87.197,87.453,84.935,87.89,89.44,87.737,89.49809807,93.914,81.546,84.774,83.046,RH,2076_2100
II,NA,91.79943169,92.32545649,76.972,81.151,80.51,82.46,83.879,83.605,83.982,79.422,89.015,87.413,81.909,88.21698668,92.421,79.886,76.948,76.511,RH,2076_2100
III,NA,86.40342772,85.83100791,69.151,74.318,74.633,77.791,81.059,80.555,80.606,74.09,87.349,82.453,73.693,82.2369729,88.046,75.532,67.242,69.521,RH,2076_2100
IV,NA,75.71326844,75.58423433,61.596,67.943,69.881,71.1,78.348,78.208,79.367,70.181,84.877,74.595,69.895,69.6966996,80.376,73.514,61.285,62.559,RH,2076_2100
V,NA,73.89061242,67.2887891,65.161,64.897,64.593,64.499,76.922,75.125,77.392,68.109,78.56,68.515,68.322,59.03993112,74.376,70.835,64.535,59.433,RH,2076_2100
VI,NA,70.17776723,59.29465394,62.362,58.498,61.655,58.818,72.299,69.353,73.419,67.674,74.382,61.438,57.195,53.01109339,72.111,69.555,62.791,53.413,RH,2076_2100
VII,NA,62.4896011,50.68355045,54.304,49.736,53.887,55.754,65.882,63.259,66.396,69.39,74.748,55.536,38.498,50.18740928,66.424,69.904,49.686,44.569,RH,2076_2100
VIII,NA,52.67697942,49.15641275,51.939,47.876,50.539,52.324,60.218,58.694,62.834,72.827,77.575,52.137,38.1,49.86093428,60.392,71.598,50.207,42.271,RH,2076_2100
IX,NA,57.41753484,56.34799872,56.174,57.199,56.852,62.023,67.052,65.749,69.248,76.78,82.934,59.805,58.117,61.65735364,64.348,73.61,54.482,52.661,RH,2076_2100
X,NA,69.85563927,76.23166448,68.812,74.147,72.811,76.639,77.86,78.19,79.768,81.368,88.515,75.956,77.034,72.56552481,79.946,79.696,67.526,71.052,RH,2076_2100
XI,NA,87.29932615,91.60015228,80.405,84.021,83.802,85.924,87.212,86.875,87.559,87.596,89.818,87.783,85.408,83.20745684,90.902,82.811,79.631,81.192,RH,2076_2100
XII,NA,91.78230345,93.51983167,85.409,87.114,87.305,88.023,89.074,88.578,89.017,88.576,90.508,90.177,88.443,89.18477045,93.268,81.795,85.556,83.841,RH,2076_2100
I,NA,3.9463,4.3182,4.8714,2.7114,2.8331,4.36,4.5415,4.2131,4.2696,3.9223,4.6092,3.6508,4.1402,3.111969535,4.263,3.371,4.7699,2.7016,u10,1981_2005
II,NA,3.7273,4.1347,4.9905,2.7872,2.8096,4.48,4.2628,4.1938,4.1633,3.4892,4.3348,3.7467,4.1958,3.26315492,4.0937,3.4725,5.0053,2.6621,u10,1981_2005
III,NA,3.5892,3.9793,4.6368,2.6707,2.6848,4.0482,4.2676,4.2156,3.9795,3.3898,4.1776,3.6419,3.9235,3.12582416,4.0469,3.2831,4.7808,2.5822,u10,1981_2005
IV,NA,3.2908,3.8106,4.1304,2.6926,2.6296,3.7934,3.7698,3.8297,3.8022,3.1306,3.7242,3.5677,3.5958,3.218598862,3.7264,3.1197,4.5457,2.4796,u10,1981_2005
V,NA,2.6507,3.6658,3.3893,2.628,2.6853,3.3975,3.5572,3.4277,3.5326,2.861,3.1639,3.2872,3.3196,2.591962241,2.9694,2.8648,3.6312,2.3469,u10,1981_2005
VI,NA,2.2631,3.4198,2.9162,2.5683,2.5187,3.0653,3.1878,3.1895,3.3049,2.6473,2.7383,3.1354,3.2232,2.11248037,2.4936,2.4755,3.2109,2.2668,u10,1981_2005
VII,NA,2.177,3.4947,3.2025,2.4541,2.419,2.9642,3.334,3.1253,3.2264,2.6062,2.7227,2.9647,3.2486,1.87051729,2.3438,1.9975,3.1052,2.25,u10,1981_2005
VIII,NA,2.2245,3.5492,3.476,2.4021,2.401,3.1611,3.2592,3.2143,3.3272,2.831,3.0411,3.0501,3.2828,1.886787183,2.5188,1.969,3.3302,2.2016,u10,1981_2005
IX,NA,2.5775,3.6091,3.5571,2.3456,2.3695,3.2608,3.2543,3.2603,3.3417,2.9878,3.3335,3.0106,3.555,2.232836535,2.8826,2.1897,3.5083,2.1885,u10,1981_2005
X,NA,3.0219,3.95,3.9456,2.3712,2.4042,3.6916,3.5549,3.3965,3.4288,3.2425,3.5441,3.1775,3.8945,2.476257166,3.2596,2.5784,4.1334,2.2335,u10,1981_2005
XI,NA,3.5682,4.0734,4.2162,2.6057,2.5252,4.0008,3.809,3.8762,3.8579,3.4748,4.0158,3.2739,4.2302,2.643224709,4.0014,3.031,4.4597,2.4948,u10,1981_2005
XII,NA,3.8753,4.2849,4.5712,2.6718,2.7357,4.2195,4.3593,4.3907,4.0967,3.7296,4.7044,3.6211,4.4,2.67767729,4.416,3.3149,4.5384,2.5377,u10,1981_2005
I,NA,4.1945,4.1418,4.683,2.8765,2.9441,3.9624,4.4104,4.0894,3.932,3.7465,4.8414,3.7118,4.2425,3.417033876,4.1005,3.4473,4.3595,2.963,u10,2076_2100
II,NA,4.0353,4.1202,4.8621,2.7817,2.8705,3.8705,4.2636,3.9513,3.7448,3.6025,4.6812,3.5,4.164,3.372043272,4.194,3.4364,4.8557,3.0799,u10,2076_2100
III,NA,3.6407,3.8866,4.4027,2.6977,2.7885,3.6008,3.9046,3.6313,3.6235,3.3181,4.2503,3.6214,3.7921,3.242214622,3.9825,3.2652,4.4976,2.865,u10,2076_2100
IV,NA,2.8636,3.9103,3.9092,2.7111,2.7253,3.3361,3.6568,3.1121,3.1596,3.0874,3.8405,3.4521,3.5412,2.971550017,3.3415,3.189,4.0998,2.768,u10,2076_2100
V,NA,2.4433,3.7228,3.1426,2.5888,2.5782,2.9285,3.1185,2.7371,2.7913,2.803,3.2121,3.1061,3.355,2.337201351,2.6457,2.9481,3.3994,2.5155,u10,2076_2100
VI,NA,2.4103,3.5725,2.6692,2.4458,2.4816,2.5811,2.9641,2.6132,2.488,2.4842,2.8665,2.9063,3.2254,2.009870457,2.3218,2.4508,3.0256,2.4642,u10,2076_2100
VII,NA,2.06,3.4294,3.1202,2.4847,2.4519,2.558,2.7794,2.4708,2.5026,2.2859,2.7891,2.849,3.123,1.843279752,2.1859,1.929,3.0601,2.4705,u10,2076_2100
VIII,NA,2.2686,3.387,2.9068,2.3966,2.3623,2.5223,2.7796,2.3863,2.4022,2.2447,2.9711,2.6403,3.2097,1.749369792,2.271,1.7152,2.959,2.3829,u10,2076_2100
IX,NA,2.6253,3.609,3.2127,2.2703,2.3001,2.7615,2.8282,2.6248,2.5826,2.7553,3.358,2.6505,3.3609,1.943872267,2.6784,2.0534,3.2595,2.2632,u10,2076_2100
X,NA,2.8246,3.8824,3.7749,2.2554,2.3116,3.2805,3.3309,3.0495,3.0167,3.3042,3.9256,2.7669,3.8325,2.197192207,2.8577,2.4706,4.0193,2.2947,u10,2076_2100
XI,NA,3.4865,4.1099,4.3017,2.5012,2.6663,3.5857,3.7305,3.5655,3.6024,3.3475,4.5028,3.1476,4.2265,2.726763483,3.5601,3.1074,4.1153,2.572,u10,2076_2100
XII,NA,4.1725,4.3017,4.5662,2.7396,2.8292,3.7869,4.2354,4.0271,3.75,3.6931,4.7726,3.4342,4.3553,2.936730562,4.2693,3.3192,4.2941,2.9387,u10,2076_2100
I,NA,NA,1.2908,NA,3.2476,3.5273,NA,NA,0.66206,0.64967,3.0405,NA,0.89259,1.4619,0.70732,0.37051,1.4478,1.293,NA,LAI,1981_2005
II,NA,NA,1.2566,NA,2.4118,2.8924,NA,NA,0.66012,0.64386,3.0214,NA,0.55244,1.3706,0.61529,0.32623,1.5569,1.1593,NA,LAI,1981_2005
III,NA,NA,1.3587,NA,2.8994,2.8933,NA,NA,0.83732,0.80263,3.0497,NA,0.85354,1.4564,0.60067,0.32879,2.0444,1.2804,NA,LAI,1981_2005
IV,NA,NA,1.8032,NA,3.1765,3.0945,NA,NA,1.6222,1.4793,3.3649,NA,1.6199,1.8386,0.75675,0.52807,3.5724,1.5125,NA,LAI,1981_2005
V,NA,NA,2.6031,NA,3.493,3.5786,NA,NA,2.6281,2.5013,3.6221,NA,2.3089,2.431,1.924,1.361,5.5637,2.5738,NA,LAI,1981_2005
VI,NA,NA,3.7488,NA,3.6958,3.7785,NA,NA,3.1132,3.0151,3.7608,NA,2.4535,2.6721,2.9663,2.5773,5.9522,4.1558,NA,LAI,1981_2005
VII,NA,NA,4.2923,NA,3.6289,3.7033,NA,NA,3.3054,3.2238,3.8633,NA,2.131,2.552,3.5273,2.9371,5.9634,3.8335,NA,LAI,1981_2005
VIII,NA,NA,3.4466,NA,3.2013,3.45,NA,NA,3.1287,3.06,3.9931,NA,1.8854,2.3549,3.494,2.6968,5.9634,2.107,NA,LAI,1981_2005
IX,NA,NA,2.1368,NA,3.2361,3.4023,NA,NA,2.6813,2.6459,4.1186,NA,1.7303,2.4286,2.9895,2.1097,5.9496,1.7863,NA,LAI,1981_2005
X,NA,NA,1.6515,NA,3.5433,3.6648,NA,NA,2.6192,2.5861,4.1776,NA,1.2018,2.1415,2.1874,1.3318,5.4936,1.6677,NA,LAI,1981_2005
XI,NA,NA,1.5489,NA,3.5902,3.7851,NA,NA,1.7599,1.8056,4.0838,NA,0.97643,1.7364,1.4688,0.65722,4.1339,1.6201,NA,LAI,1981_2005
XII,NA,NA,1.3996,NA,3.7053,3.8294,NA,NA,0.77848,0.74827,3.7154,NA,1.2569,1.5978,0.98253,0.45805,2.8362,1.6058,NA,LAI,1981_2005
I,NA,NA,1.669,NA,4.0238,3.9691,NA,NA,1.0907,1.0587,2.5573,NA,0.90707,1.6494,1.0692,0.45817,3.0578,3.0293,NA,LAI,2076_2100
II,NA,NA,1.613,NA,4.0154,3.9715,NA,NA,1.4073,1.3042,2.3495,NA,0.5626,1.645,0.90757,0.44884,4.0582,2.8729,NA,LAI,2076_2100
III,NA,NA,1.7429,NA,4.0145,3.9846,NA,NA,2.3875,2.2497,2.9004,NA,0.86688,1.724,1.1475,0.53298,5.7075,2.8166,NA,LAI,2076_2100
IV,NA,NA,2.3479,NA,4.0638,4.0541,NA,NA,3.5428,3.4445,3.5297,NA,1.6418,2.1916,2.0079,1.0493,8.5403,2.9588,NA,LAI,2076_2100
V,NA,NA,3.7203,NA,4.1542,4.1632,NA,NA,4.2789,4.2692,3.8741,NA,2.3438,2.6662,2.9608,2.2696,9.7829,4.4439,NA,LAI,2076_2100
VI,NA,NA,5.019,NA,4.0427,4.1547,NA,NA,4.5071,4.5727,4.2218,NA,2.4944,2.7025,3.576,3.0043,9.8534,4.6429,NA,LAI,2076_2100
VII,NA,NA,4.0795,NA,3.0966,3.5381,NA,NA,4.0644,4.168,4.6407,NA,2.1789,2.4213,3.6212,2.8331,9.8541,2.9102,NA,LAI,2076_2100
VIII,NA,NA,3.3029,NA,2.3003,2.5689,NA,NA,3.3864,3.5077,4.9384,NA,1.9332,2.2134,3.238,2.0968,9.8541,2.4551,NA,LAI,2076_2100
IX,NA,NA,2.7245,NA,2.394,2.5546,NA,NA,3.151,3.2645,4.8943,NA,1.7749,2.4481,2.7373,1.682,9.8518,2.0233,NA,LAI,2076_2100
X,NA,NA,2.0866,NA,3.1523,3.0546,NA,NA,2.5323,2.7303,4.5272,NA,1.2293,2.5535,2.3559,1.4903,9.6992,2.0467,NA,LAI,2076_2100
XI,NA,NA,1.9005,NA,3.7674,3.7189,NA,NA,1.9241,1.9643,4.0394,NA,0.99446,2.013,1.8989,0.96522,8.3282,2.6157,NA,LAI,2076_2100
XII,NA,NA,1.7883,NA,4.0072,3.9568,NA,NA,1.6369,1.5613,3.5102,NA,1.2715,1.7046,1.3988,0.55465,6.7414,3.0127,NA,LAI,2076_2100
I,NA,NA,NA,NA,NA,0.088302,NA,0.087166,0.080575,0.076051,0.063839,0.060916,0.052881,0.057265,0.029237,0.032481,0.11483,0.088943,0.10705,VPD_d,1981_2005
II,NA,NA,NA,NA,NA,0.11059,NA,0.096231,0.10647,0.095013,0.083013,0.068637,0.076032,0.10367,0.03796,0.030544,0.14657,0.14891,0.16692,VPD_d,1981_2005
III,NA,NA,NA,NA,NA,0.19392,NA,0.15383,0.16368,0.15469,0.14112,0.075534,0.12438,0.19666,0.10442,0.086677,0.20081,0.2808,0.28716,VPD_d,1981_2005
IV,NA,NA,NA,NA,NA,0.35647,NA,0.2464,0.27906,0.26978,0.2274,0.10646,0.22306,0.37771,0.25806,0.23977,0.30046,0.42562,0.41769,VPD_d,1981_2005
V,NA,NA,NA,NA,NA,0.46778,NA,0.39787,0.42737,0.38864,0.34189,0.22309,0.3422,0.53061,0.44761,0.3723,0.45619,0.48092,0.57149,VPD_d,1981_2005
VI,NA,NA,NA,NA,NA,0.61552,NA,0.52197,0.59707,0.53517,0.44787,0.41624,0.49983,0.8243,0.62069,0.39386,0.59306,0.5078,0.73637,VPD_d,1981_2005
VII,NA,NA,NA,NA,NA,0.83251,NA,0.58705,0.70987,0.64267,0.47808,0.44245,0.60547,1.46,0.84525,0.46396,0.61645,0.6904,0.92734,VPD_d,1981_2005
VIII,NA,NA,NA,NA,NA,0.80753,NA,0.56793,0.61935,0.60746,0.40308,0.33289,0.53752,1.527,0.79493,0.47752,0.52522,0.90065,0.83281,VPD_d,1981_2005
IX,NA,NA,NA,NA,NA,0.54134,NA,0.44666,0.49894,0.4764,0.27633,0.19884,0.41022,0.70743,0.5409,0.36816,0.4045,0.68622,0.54218,VPD_d,1981_2005
X,NA,NA,NA,NA,NA,0.25159,NA,0.2381,0.2569,0.251,0.16607,0.10717,0.20833,0.28168,0.27803,0.1847,0.24528,0.34451,0.28627,VPD_d,1981_2005
XI,NA,NA,NA,NA,NA,0.11439,NA,0.10262,0.10558,0.10717,0.08828,0.072933,0.086311,0.13056,0.11031,0.052868,0.16302,0.15685,0.15178,VPD_d,1981_2005
XII,NA,NA,NA,NA,NA,0.078631,NA,0.080096,0.086824,0.080839,0.056175,0.071987,0.055735,0.076029,0.041683,0.034774,0.1126,0.096396,0.09189,VPD_d,1981_2005
I,NA,0.068306,NA,NA,NA,0.13882,NA,0.11933,0.11303,0.10498,0.11971,0.08756,0.090541,0.091396,0.1026,0.049311,0.1626,0.11964,0.16571,VPD_d,2076_2100
II,NA,0.073217,NA,NA,NA,0.2088,NA,0.153,0.15121,0.13824,0.1741,0.083508,0.1097,0.14518,0.11435,0.070141,0.20415,0.2088,0.25715,VPD_d,2076_2100
III,NA,0.15394,NA,NA,NA,0.32085,NA,0.20347,0.21938,0.21554,0.2764,0.10992,0.17929,0.26775,0.2045,0.13362,0.2793,0.37181,0.40427,VPD_d,2076_2100
IV,NA,0.37992,NA,NA,NA,0.49278,NA,0.3083,0.317,0.29038,0.43882,0.17505,0.37297,0.42032,0.46737,0.28508,0.37878,0.57757,0.65429,VPD_d,2076_2100
V,NA,0.5361,NA,NA,NA,0.80759,NA,0.45057,0.51888,0.44694,0.66388,0.37927,0.6556,0.65572,0.88722,0.47913,0.57305,0.70378,1.0371,VPD_d,2076_2100
VI,NA,0.78835,NA,NA,NA,1.2166,NA,0.7198,0.86297,0.70605,0.87724,0.6572,1.203,1.3045,1.4938,0.70119,0.80729,1.0344,1.6713,VPD_d,2076_2100
VII,NA,1.3045,NA,NA,NA,1.8695,NA,1.1578,1.3132,1.1695,0.9523,0.71471,1.6623,2.6359,2.051,1.0123,0.88434,1.8397,2.4955,VPD_d,2076_2100
VIII,NA,1.9017,NA,NA,NA,2.0528,NA,1.5096,1.6026,1.4017,0.81544,0.61991,1.8587,2.5668,2.1473,1.3326,0.79961,1.8423,2.5736,VPD_d,2076_2100
IX,NA,1.2575,NA,NA,NA,1.3094,NA,0.96376,1.0475,0.89091,0.53091,0.35009,1.2076,1.0923,1.1612,0.95618,0.6227,1.3306,1.5276,VPD_d,2076_2100
X,NA,0.6197,NA,NA,NA,0.53729,NA,0.463,0.43857,0.41092,0.31169,0.16203,0.49177,0.35601,0.56685,0.35765,0.33393,0.58896,0.58954,VPD_d,2076_2100
XI,NA,0.15378,NA,NA,NA,0.21339,NA,0.15022,0.16286,0.14592,0.14058,0.10171,0.15516,0.1413,0.23609,0.098729,0.19889,0.22789,0.24649,VPD_d,2076_2100
XII,NA,0.07579,NA,NA,NA,0.13042,NA,0.10708,0.10689,0.096667,0.098033,0.078314,0.088705,0.091418,0.1121,0.060559,0.16289,0.12224,0.16957,VPD_d,2076_2100
I,NA,NA,NA,NA,NA,0.049261,NA,0.040188,0.04084,0.039283,0.037728,0.039893,0.039477,0.039972,0.036784,0.040624,0.047813,0.045584,0.050464,delta_d,1981_2005
II,NA,NA,NA,NA,NA,0.048826,NA,0.038984,0.044776,0.041787,0.03911,0.039492,0.042054,0.04392,0.039514,0.040808,0.052777,0.052001,0.054569,delta_d,1981_2005
III,NA,NA,NA,NA,NA,0.058099,NA,0.050537,0.054329,0.052704,0.048703,0.046454,0.049704,0.054949,0.052393,0.052482,0.059807,0.062127,0.064835,delta_d,1981_2005
IV,NA,NA,NA,NA,NA,0.077557,NA,0.066967,0.074353,0.071071,0.066293,0.057862,0.064078,0.077582,0.067663,0.069984,0.073858,0.074583,0.079015,delta_d,1981_2005
V,NA,NA,NA,NA,NA,0.096976,NA,0.089155,0.096301,0.092147,0.088794,0.084658,0.087053,0.10127,0.091565,0.094509,0.097708,0.097039,0.1027,delta_d,1981_2005
VI,NA,NA,NA,NA,NA,0.12071,NA,0.1109,0.12069,0.11381,0.11134,0.11687,0.11156,0.1216,0.11797,0.11421,0.12228,0.11431,0.12623,delta_d,1981_2005
VII,NA,NA,NA,NA,NA,0.14224,NA,0.11945,0.13194,0.12594,0.12095,0.12612,0.12561,0.1482,0.14177,0.12545,0.13311,0.12781,0.14302,delta_d,1981_2005
VIII,NA,NA,NA,NA,NA,0.13361,NA,0.11646,0.12412,0.12083,0.1144,0.11625,0.11801,0.14308,0.13375,0.12099,0.12473,0.1329,0.13615,delta_d,1981_2005
IX,NA,NA,NA,NA,NA,0.1083,NA,0.10217,0.11128,0.1045,0.096888,0.096055,0.10226,0.10037,0.11005,0.1022,0.1051,0.1129,0.10624,delta_d,1981_2005
X,NA,NA,NA,NA,NA,0.07992,NA,0.076219,0.081526,0.082053,0.073556,0.072768,0.074554,0.075656,0.081976,0.076422,0.081752,0.08183,0.080368,delta_d,1981_2005
XI,NA,NA,NA,NA,NA,0.06095,NA,0.052645,0.057404,0.056887,0.05311,0.053565,0.054873,0.059498,0.059148,0.052575,0.062759,0.059642,0.063901,delta_d,1981_2005
XII,NA,NA,NA,NA,NA,0.052121,NA,0.040512,0.045643,0.043363,0.039811,0.044931,0.041198,0.046478,0.043109,0.043076,0.051362,0.04939,0.052124,delta_d,1981_2005
I,NA,0.061072,NA,NA,NA,0.064225,NA,0.060374,0.061006,0.058444,0.053884,0.053615,0.058804,0.054664,0.063197,0.052628,0.060866,0.056122,0.064982,delta_d,2076_2100
II,NA,0.061095,NA,NA,NA,0.069107,NA,0.063902,0.062968,0.060082,0.057366,0.0542,0.059113,0.056146,0.062287,0.056713,0.06659,0.062308,0.069788,delta_d,2076_2100
III,NA,0.070973,NA,NA,NA,0.077974,NA,0.070736,0.073829,0.072522,0.068191,0.059762,0.068195,0.06866,0.071315,0.064979,0.072694,0.072859,0.081333,delta_d,2076_2100
IV,NA,0.093584,NA,NA,NA,0.095944,NA,0.088346,0.090512,0.088657,0.089206,0.074623,0.090046,0.090386,0.091763,0.081945,0.087694,0.091478,0.10141,delta_d,2076_2100
V,NA,0.12083,NA,NA,NA,0.12989,NA,0.11577,0.12196,0.1175,0.12095,0.10486,0.11969,0.11832,0.12626,0.10986,0.11458,0.11724,0.1407,delta_d,2076_2100
VI,NA,0.15016,NA,NA,NA,0.17172,NA,0.14539,0.15275,0.14929,0.1544,0.14611,0.16636,0.15371,0.17739,0.14285,0.15116,0.15386,0.18715,delta_d,2076_2100
