MONTH,ERA5,AWI,BCC,CESM2,CMCC_C,CMCC_E,CNRM,EARTH,EARTH_C,EARTH_V,GFDL_C,GFDL_E,HADGEM,INM,IPSL,MPI,MRI,NOR,TAI,VAR,PERIOD
IX,49.056,50.708,41.563,36.139,43.47,42.706,40.389,53.121,54.924,52.709,56.203,54.742,50.693,43.723,42.445,53.707,47.242,35.912,42.242,LE,1981_2005
X,28.126,31.573,27.253,20.625,23.72,24.055,27.843,30.531,31.009,31.521,30.72,29.253,27.412,28.913,22.205,31.053,28.285,20.192,21.259,LE,1981_2005
XI,13.109,19.94,22.066,11.267,13.351,13.057,13.663,13.551,15.362,15.22,15.924,15.786,16.13,15.966,10.402,19.924,19.401,10.475,11.869,LE,1981_2005
XII,7.4886,15.62,14.382,7.5228,9.1796,9.6012,5.9006,5.5021,7.4785,6.1993,11.026,10.059,12.546,10.514,5.0179,15.636,15.58,6.6504,7.2066,LE,1981_2005
I,NA,24.306,22.057,12.549,13.777,13.835,12.433,16.129,15.628,14.391,12.986,13.772,19.183,14.146,12.827,21.043,18.795,9.2564,12.286,LE,2076_2100
II,NA,31.935,28.517,18.182,18.387,19.002,20.517,25.492,25.707,22.463,16.779,19.719,25.384,21.889,20.182,31.669,24.355,17.165,17.814,LE,2076_2100
III,NA,48.594,40.21,27.422,32.408,31.59,39.345,45.253,47.119,46.379,29.143,34.742,40.067,39.464,33.622,48.15,36.798,25.474,28.897,LE,2076_2100
IV,NA,70.942,58.664,50.186,56.536,53.099,64.698,77.885,79.833,76.397,51.954,57.293,59.732,72.295,48.837,71.016,57.183,44.231,50.236,LE,2076_2100
V,NA,103.96,72.871,82.198,83.211,81.318,86.535,107.47,109.48,110.2,79.761,86.977,84.131,102.23,68.752,100.6,83.486,76.831,78.203,LE,2076_2100
VI,NA,117.37,82.857,94.85,94.433,97.096,88.67,120.03,115.58,123.49,103.51,108,98.327,105.14,88.874,117.27,106.37,92.384,92.998,LE,2076_2100
VII,NA,100.89,67.943,68.163,71.841,78.846,75.245,104.84,97.524,105.92,104.72,100.9,81.76,61.576,87.948,101.81,106.08,69.428,71.86,LE,2076_2100
VIII,NA,59.33,44.762,49.732,48.126,49.615,51.499,73.798,68.533,75.866,85.579,84,54.728,38.064,65.621,66.934,84.1,51.05,43.266,LE,2076_2100
IX,NA,39.605,36.751,31.85,34.39,33.835,42.505,52.56,50.193,55.434,56.409,57.646,38.866,43.601,40.648,44.862,54.85,31.256,31.721,LE,2076_2100
X,NA,28.617,33.988,21.059,23.526,22.677,31.703,35.83,36.246,37.203,33.253,33.151,26.852,33.343,23.079,32.369,32.389,19.868,22.781,LE,2076_2100
XI,NA,26.066,29.031,15.041,15.081,16.145,19.332,20.531,20.772,21.756,18.39,20.656,20.098,19.103,15.074,25.302,23.181,12.652,13.875,LE,2076_2100
XII,NA,24.109,24.618,12.483,11.962,12.442,11.359,15.431,14.951,13.691,15.309,15.253,17.023,14.256,10.715,22.172,17.841,9.7648,11.988,LE,2076_2100
I,39.196,32.43,27.35,33.859,34.129,35.307,47.583,40.782,38.949,39.137,36.569,36.152,36.11,44.198,36.536,31.758,37.205,35.721,35.879,Rg,1981_2005
II,72.488,56.527,48.98,62.944,64.937,64.951,88.306,75.188,69.763,70.464,69.385,66.727,65.778,81.31,67.097,57.529,66.24,68.328,67.358,Rg,1981_2005
III,118.85,95.039,85.521,115.55,118,109.69,143,121.91,113.15,119.26,121.19,106.95,107.11,138.9,111.93,98.802,114.21,121.25,123.92,Rg,1981_2005
IV,177.97,149.5,145.97,180,171.55,176.91,197.76,169.09,167.75,170.96,168.72,144.68,158.5,198.89,161.67,157.21,178.27,175.94,177.09,Rg,1981_2005
V,215.1,212.27,197.44,218.46,214.35,215.22,246.27,216.05,219.13,209.01,212.49,196.84,215.82,245.66,210.05,211.69,231.54,223.24,216.65,Rg,1981_2005
VI,217.64,244.58,237.11,233.42,239.02,241.89,265.86,236,244.26,236.5,235.83,240.93,261.71,285.67,260.12,239.74,261.43,237.95,240.58,Rg,1981_2005
VII,212.61,233.72,240.09,220.43,251.58,247.07,257.19,220.69,231.81,226.88,230.35,230.02,257.87,296.51,274.29,232.2,250.9,232.71,248.18,Rg,1981_2005
