MONTH,ERA5,AWI,BCC,CESM2,CMCC_C,CMCC_E,CNRM,EARTH,EARTH_C,EARTH_V,GFDL_C,GFDL_E,HADGEM,INM,MPI,MRI,NOR,TAI,VAR,PERIOD
VII,NA,53.594,79.826,67.968,73.683,67.554,64.31,43.161,49.916,41.496,43.037,31.105,62.869,83.749,46.248,32.707,75.927,80.292,H,2076_2100
VIII,NA,61.952,73.959,60.991,65.728,62.851,60.472,46.624,53.203,43.963,32.46,21.372,61.609,73.076,49.934,21.673,63.49,71.766,H,2076_2100
IX,NA,34.877,37.858,39.066,41.386,42.398,33.836,28.921,29.884,25.332,15.272,7.688,38.351,30.717,27.314,5.4257,39.729,44.549,H,2076_2100
X,NA,3.3443,-2.7728,10.788,13.91,13.662,7.5675,2.9641,2.772,1.3193,-4.9738,-5.9106,10.629,-1.439,-0.26766,-9.4389,11.646,14.287,H,2076_2100
XI,NA,-16.816,-22.695,-6.0796,-4.4708,-6.1843,-7.8943,-9.4522,-10.066,-10.532,-13.694,-15.449,-6.9675,-15.056,-14.338,-22.613,-4.6527,-3.1324,H,2076_2100
XII,NA,-21.178,-25.522,-13.136,-12.127,-11.763,-10.439,-16.055,-16.157,-13.777,-19.405,-17.531,-11.737,-17.995,-18.75,-27.722,-11.176,-11.183,H,2076_2100
I,7.8141,15.89,15.164,6.1863,8.8706,9.7666,4.8986,6.2839,5.7382,5.3624,10.304,8.2611,12.157,8.6911,14.797,14.999,6.6137,8.1769,LE,1981_2005
II,11.838,21.142,19.811,11.619,12.955,13.068,7.9497,8.8294,11.726,9.6285,12.396,10.909,18.499,15.037,20.726,19.461,10.87,12.609,LE,1981_2005
III,27.556,37.063,30.735,20.481,25.684,23.736,26.084,24.412,27.895,25.423,25.774,24.492,29.097,28.304,38.369,29.649,21.45,24.708,LE,1981_2005
IV,55.625,59.222,52.456,41.205,49.611,48.428,57.043,52.014,59.364,56.098,51.01,44.518,48.52,59.511,60.522,47.687,37.617,45.125,LE,1981_2005
V,82.514,92.403,73.31,76.988,75.182,74.61,79.827,83.971,88.68,85.396,79.119,74.343,76.835,93.682,89.507,74.014,76.323,72.302,LE,1981_2005
VI,91.523,116.06,91.338,99.521,92.935,93.319,84.901,100.34,104.64,103.75,96.947,101.74,101.26,106,112.89,91.937,98.564,90.2,LE,1981_2005
VII,91.303,106.51,87.1,81.002,88.561,91.998,67.725,94.816,96.021,96.16,98.082,99.463,98.167,81.636,107.42,91.174,85.561,87.994,LE,1981_2005
VIII,76.221,77.963,62.269,54.329,64.581,65.583,51.802,75.904,75.478,76.84,83.888,80.806,76.09,50.719,79.58,73.819,54.378,68.026,LE,1981_2005
IX,49.056,50.708,41.563,36.139,43.47,42.706,40.389,53.121,54.924,52.709,56.203,54.742,50.693,43.723,53.707,47.242,35.912,42.242,LE,1981_2005
X,28.126,31.573,27.253,20.625,23.72,24.055,27.843,30.531,31.009,31.521,30.72,29.253,27.412,28.913,31.053,28.285,20.192,21.259,LE,1981_2005
XI,13.109,19.94,22.066,11.267,13.351,13.057,13.663,13.551,15.362,15.22,15.924,15.786,16.13,15.966,19.924,19.401,10.475,11.869,LE,1981_2005
XII,7.4886,15.62,14.382,7.5228,9.1796,9.6012,5.9006,5.5021,7.4785,6.1993,11.026,10.059,12.546,10.514,15.636,15.58,6.6504,7.2066,LE,1981_2005
I,NA,24.306,22.057,12.549,13.777,13.835,12.433,16.129,15.628,14.391,12.986,13.772,19.183,14.146,21.043,18.795,9.2564,12.286,LE,2076_2100
II,NA,31.935,28.517,18.182,18.387,19.002,20.517,25.492,25.707,22.463,16.779,19.719,25.384,21.889,31.669,24.355,17.165,17.814,LE,2076_2100
III,NA,48.594,40.21,27.422,32.408,31.59,39.345,45.253,47.119,46.379,29.143,34.742,40.067,39.464,48.15,36.798,25.474,28.897,LE,2076_2100
IV,NA,70.942,58.664,50.186,56.536,53.099,64.698,77.885,79.833,76.397,51.954,57.293,59.732,72.295,71.016,57.183,44.231,50.236,LE,2076_2100
V,NA,103.96,72.871,82.198,83.211,81.318,86.535,107.47,109.48,110.2,79.761,86.977,84.131,102.23,100.6,83.486,76.831,78.203,LE,2076_2100
VI,NA,117.37,82.857,94.85,94.433,97.096,88.67,120.03,115.58,123.49,103.51,108,98.327,105.14,117.27,106.37,92.384,92.998,LE,2076_2100
VII,NA,100.89,67.943,68.163,71.841,78.846,75.245,104.84,97.524,105.92,104.72,100.9,81.76,61.576,101.81,106.08,69.428,71.86,LE,2076_2100
VIII,NA,59.33,44.762,49.732,48.126,49.615,51.499,73.798,68.533,75.866,85.579,84,54.728,38.064,66.934,84.1,51.05,43.266,LE,2076_2100
IX,NA,39.605,36.751,31.85,34.39,33.835,42.505,52.56,50.193,55.434,56.409,57.646,38.866,43.601,44.862,54.85,31.256,31.721,LE,2076_2100
X,NA,28.617,33.988,21.059,23.526,22.677,31.703,35.83,36.246,37.203,33.253,33.151,26.852,33.343,32.369,32.389,19.868,22.781,LE,2076_2100
XI,NA,26.066,29.031,15.041,15.081,16.145,19.332,20.531,20.772,21.756,18.39,20.656,20.098,19.103,25.302,23.181,12.652,13.875,LE,2076_2100
XII,NA,24.109,24.618,12.483,11.962,12.442,11.359,15.431,14.951,13.691,15.309,15.253,17.023,14.256,22.172,17.841,9.7648,11.988,LE,2076_2100
I,39.196,32.43,27.35,33.859,34.129,35.307,47.583,40.782,38.949,39.137,36.569,36.152,36.11,44.198,31.758,37.205,35.721,35.879,Rg,1981_2005
II,72.488,56.527,48.98,62.944,64.937,64.951,88.306,75.188,69.763,70.464,69.385,66.727,65.778,81.31,57.529,66.24,68.328,67.358,Rg,1981_2005
III,118.85,95.039,85.521,115.55,118,109.69,143,121.91,113.15,119.26,121.19,106.95,107.11,138.9,98.802,114.21,121.25,123.92,Rg,1981_2005
IV,177.97,149.5,145.97,180,171.55,176.91,197.76,169.09,167.75,170.96,168.72,144.68,158.5,198.89,157.21,178.27,175.94,177.09,Rg,1981_2005
V,215.1,212.27,197.44,218.46,214.35,215.22,246.27,216.05,219.13,209.01,212.49,196.84,215.82,245.66,211.69,231.54,223.24,216.65,Rg,1981_2005
VI,217.64,244.58,237.11,233.42,239.02,241.89,265.86,236,244.26,236.5,235.83,240.93,261.71,285.67,239.74,261.43,237.95,240.58,Rg,1981_2005
VII,212.61,233.72,240.09,220.43,251.58,247.07,257.19,220.69,231.81,226.88,230.35,230.02,257.87,296.51,232.2,250.9,232.71,248.18,Rg,1981_2005
VIII,185.98,197.38,204.15,197.52,213.67,209.25,219.45,188.25,187.82,190.27,192.41,185.88,212.36,248.06,190.71,207.43,205.44,208.35,Rg,1981_2005
IX,127.58,139.75,149.02,149.54,155.8,149.88,164.29,144.95,145.11,143.32,138.62,128.25,161.92,166.07,129.96,146.63,157.19,148.19,Rg,1981_2005
X,81.243,77.57,72.895,86.587,89.633,87.958,98.34,86.778,87.588,89.027,86.915,71.459,89.417,94.982,73.999,83.152,87.996,88.915,Rg,1981_2005
XI,43.176,35.928,29.827,44.36,44.218,43.465,53.566,43.43,41,42.143,40.679,36.956,40.457,48.722,33.608,45.242,44.466,43.581,Rg,1981_2005
XII,29.806,22.539,20.727,27.28,26.659,25.683,36.182,30.895,28.822,29.93,27.632,26.618,27.665,33.666,24.527,28.708,28.831,27.466,Rg,1981_2005
I,NA,28.565,24.625,37.18,36.608,35.936,42.393,36.407,35.208,34.956,36.349,34.495,33.819,42.149,30.095,40.658,37.372,37.032,Rg,2076_2100
II,NA,53.256,49.75,66.38,68.438,69.358,78.258,67.265,65.226,68.406,72.636,58.865,62.508,78.692,54.727,72.476,68.462,69.81,Rg,2076_2100
III,NA,101.02,95.351,120.28,124.9,119.53,130.73,108.96,113.8,111.68,127.55,107.52,106.36,140.36,97.711,128.37,123.5,124.72,Rg,2076_2100
IV,NA,174.04,150.73,194.76,189.24,179.03,196.89,169.94,177.06,165.68,184.73,159.56,176.56,202.65,159.76,189.28,184.73,191.45,Rg,2076_2100
V,NA,229.96,209.74,234.02,242.73,241.03,254.05,223.76,233.72,226.24,236.83,230.49,243.87,253.3,228.39,245.06,234.34,242.79,Rg,2076_2100
VI,NA,264.46,258.24,263.86,278.07,269.28,277.84,256.97,261.18,258.3,268.11,265.95,291.93,302.63,258.67,283.57,263.09,281.07,Rg,2076_2100
VII,NA,265.68,269.11,254.36,279.59,271.64,264.72,253.67,255.95,251.49,259.3,251.34,289.19,313.56,255.93,276.03,281.36,288.76,Rg,2076_2100
VIII,NA,223.72,234.49,228.07,239.02,233.71,230.13,219.54,223.46,215.95,215.16,211.09,253.03,260.57,214.48,232.97,238.71,246.3,Rg,2076_2100
IX,NA,156.39,166.65,168.87,173.83,175.74,167.14,160.96,159.16,157.45,152.03,149.33,184.29,177.18,147.64,163.33,172.74,178.8,Rg,2076_2100
X,NA,92.123,87.895,96.688,99.426,100.68,99.519,92.609,93.17,90.864,90.94,82.821,105.68,95.678,79.983,92.961,96.587,100.97,Rg,2076_2100
XI,NA,37.882,33.686,45.773,50.316,49.38,52.659,43.001,43.845,43.056,44.771,40.113,47.195,47.906,35.72,46.666,48.136,50.081,Rg,2076_2100
XII,NA,22.373,20.216,28.148,30.399,29.17,34.249,26.502,27.884,26.832,26.894,24.889,27.544,32.627,22.801,33.545,29.972,30.224,Rg,2076_2100
I,27.632,26.7667,20.6664,25.3447,26.5456,27.3087,27.318,21.452,21.282,20.006,24.329,19.664,24.125,29.621,25.7952,22.917,24.686,29.3022,SW_net,1981_2005
II,50.522,46.7016,38.842,48.259,50.734,49.183,48.36,39.472,45.126,38.445,47.585,37.276,44.132,59.13,46.852,43.309,50.243,55.946,SW_net,1981_2005
III,92.659,83.983,71.193,94.601,97.936,90.117,103.276,79.67,82.196,82.373,92.316,68.164,81.238,110.033,87.256,78.974,99.005,105.153,SW_net,1981_2005
IV,146.35,134.407,126.295,153.379,146.19,149.846,162.984,135.429,140.751,139.712,136.909,102.098,126.42,166.52,141.151,128.725,149.173,152.128,SW_net,1981_2005
V,176.93,184.678,172.726,187.746,184.626,185.111,203.107,184.607,187.941,179.354,175.824,152.706,171.559,204.81,184.306,172.83,191.864,187.185,SW_net,1981_2005
VI,179.74,204.947,208.01,201.308,206.681,209.036,220.592,202.339,209.008,202.747,196.557,196.408,208.195,235.851,201.25,195.76,205.271,208.46,SW_net,1981_2005
VII,177.41,194.746,210.928,189.316,217.061,213.187,215.042,188.553,197.63,193.59,192.601,186.108,206.909,242.376,193.484,186.049,199.917,214.777,SW_net,1981_2005
VIII,156.64,166.013,177.698,167.281,181.868,178.574,185.273,161.943,161.23,163.435,160.674,148.251,171.46,205.321,160.039,147.405,173.753,178.739,SW_net,1981_2005
IX,108.49,120.396,128.817,125.823,131.435,126.62,140.446,126.245,126.672,124.962,114.927,101.216,131.031,139.147,111.38,101.588,131.992,126.218,SW_net,1981_2005
X,69.725,68.203,63.0168,72.423,75.088,73.753,84.959,74.624,75.959,76.755,71.053,55.156,73.384,80.473,64.9276,56.373,73.562,75.078,SW_net,1981_2005
XI,35.622,31.8726,25.165,36.7116,36.7405,36.0157,45.0442,33.16,32.6572,33.9464,32.3762,26.284,32.5945,40.7713,29.4276,29.486,36.3383,36.6783,SW_net,1981_2005
XII,22.07,19.487,16.0185,21.391,21.7234,20.7758,25.396,17.243,18.417,19.085,20.1552,16.457,19.9921,25.7072,20.5479,18.23,21.8943,22.4771,SW_net,1981_2005
I,NA,25.6345,20.7635,30.8124,30.387,29.7826,34.5347,29.4683,28.7838,27.3811,27.5571,23.209,27.401,34.3079,26.9261,27.234,29.8596,30.8731,SW_net,2076_2100
II,NA,47.8563,42.1497,55.409,57.472,58.324,63.109,54.521,53.291,54.172,55.616,39.456,50.564,64.096,49.0798,50.187,56.393,58.457,SW_net,2076_2100
III,NA,90.607,82.552,102.007,106.537,101.953,110.34,91.728,95.196,94.358,100.054,76.176,87.925,118.211,87.709,92.121,104.332,106.194,SW_net,2076_2100
IV,NA,151.69,132.146,167.775,163.181,154.409,165.036,145.046,151.069,141.158,147.878,118.828,143.678,170.564,141.572,138.907,158.801,164.794,SW_net,2076_2100
V,NA,193.948,184.59,202.245,210.554,208.996,210.99,190.083,198.384,192.158,192.049,178.616,195.988,211.187,194.682,183.978,202.261,210.394,SW_net,2076_2100
VI,NA,221.552,227.772,227.704,241.005,233.692,231.419,217.96,221.389,218.814,219.006,211.494,234.69,249.854,216.691,213.957,227.378,244.012,SW_net,2076_2100
VII,NA,224.993,235.526,216.529,238.559,233.242,222.083,217.034,218.871,214.766,212.202,198.103,234.212,256.343,215.327,206.361,238.962,248.835,SW_net,2076_2100
VIII,NA,195.439,203.059,191.847,200.672,196.733,194.858,190.689,194.505,187.619,175.306,163.853,206.006,215.685,185.231,167.265,200.687,207.519,SW_net,2076_2100
IX,NA,137.752,144.562,140.391,144.735,146.443,143.325,141.022,139.695,137.975,122.533,114.403,150.422,148.458,129.678,114.112,143.438,148.839,SW_net,2076_2100
X,NA,81.347,76.435,80.299,82.598,83.353,86.448,81.611,82.181,79.957,72.178,62.207,87.463,81.11,70.5829,63.504,80.137,84.061,SW_net,2076_2100
XI,NA,33.6226,29.0856,38.1728,41.8017,40.9785,45.8756,37.7384,38.4714,37.5913,34.9827,29.349,39.4294,40.7678,31.8331,30.904,40.0862,41.7449,SW_net,2076_2100
XII,NA,20.1072,17.2488,23.4051,25.2828,24.2499,29.1131,22.7512,23.1458,21.9382,20.7218,17.1807,22.4077,27.439,20.3289,22.278,24.6427,25.2207,SW_net,2076_2100
I,37.568,29.12,28.46,33.8,32.7,34.62,35.02,35.04,32.73,31.68,32.15,29.43,25.47,45.77,27.34,36.44,33,35.6,LW_net,1981_2005
II,44.12,30.09,31.57,39.66,40.74,39.51,41.83,40.39,40.87,37.05,38.98,33.69,30.23,53.81,29.4,41.12,41.99,44.46,LW_net,1981_2005
III,50.532,34.51,38.25,53.16,52.57,48.19,54.38,47.85,46.89,47.29,50,36.82,36.57,60.71,36.82,48.76,55.74,57.74,LW_net,1981_2005
IV,60.022,45.61,52.86,65.96,59.76,60.88,65.06,54.8,56.76,56.68,55.66,41.08,46.81,66.42,49.55,58.83,64.51,63.1,LW_net,1981_2005
V,62.156,56.45,62.6,62.96,61.82,62.14,71.6,62.82,63.26,59.85,60.96,52.4,57.16,66.37,56.85,65.18,64.11,64.09,LW_net,1981_2005
VI,58.711,57.42,67.76,58.87,63.21,64.54,75.64,62.98,64.82,62.85,62.03,61.13,67,75.13,56.41,66.85,59.54,66.1,LW_net,1981_2005
VII,58.528,56.31,70.62,60,70.88,68.65,81.2,60.88,64.32,62.46,60.93,59.26,69.8,91.98,55.78,63.95,62.63,70.52,LW_net,1981_2005
VIII,59.433,58.02,71.01,67.85,70.5,68.43,79.17,60.59,60.21,61.31,57.23,53.91,66.34,93.4,54.87,59.01,69.53,67.72,LW_net,1981_2005
IX,52.79,56.45,67.27,64.8,63.56,61.13,70.82,60.63,60.58,60.18,53.07,47.32,64.34,72.48,50.55,54.73,68.25,60.87,LW_net,1981_2005
X,49.161,45.23,45.5,52.44,50.97,49.97,55.53,51.81,52.18,52.41,49.66,37.22,48,58.69,41.07,44.62,53.26,51.17,LW_net,1981_2005
XI,38.766,30.19,28.68,41.41,39.68,37.86,45.12,37.55,35.93,37.99,35.78,29.45,29.53,50.21,26.24,38.54,40.89,39.34,LW_net,1981_2005
XII,34.754,24.56,25.97,33.43,32.31,30.4,36.17,32.24,32.29,33.14,31.06,28.37,25.17,47.32,26.7,34.3,34.55,32.03,LW_net,1981_2005
I,NA,24.67,25.6,36.87,35.9,34.98,35.16,34.45,32.93,31.11,34.24,29.21,26.44,44.22,24.53,38.05,35.8,35.67,LW_net,2076_2100
II,NA,27.57,33.13,42.58,42.88,43.98,43.07,40.22,39.07,39.77,45.69,30.37,30.69,50.28,27.41,43.94,42.98,44.05,LW_net,2076_2100
III,NA,36.64,42.79,52.79,53.81,51.2,51.71,43.79,45.89,45.16,54.78,39.41,37.95,59.22,33.89,52.59,55.53,54.22,LW_net,2076_2100
IV,NA,51.53,53.22,66.85,62.59,58.63,62.16,50.66,53.57,48.61,60.89,46.19,52.98,63.2,45.22,58.27,64.93,64.54,LW_net,2076_2100
V,NA,55.07,61.49,62.73,67.37,67.33,70.17,54.01,56.96,54.2,64.38,60.28,64.85,64.86,55.33,63.19,64.27,69.34,LW_net,2076_2100
VI,NA,57.8,70.24,65.74,73.42,69.39,74.85,57.65,59.98,56.28,64.02,63.96,74.49,79.32,56.47,65.17,65.55,75.65,LW_net,2076_2100
VII,NA,61.1,78.25,71.78,81.37,76.3,75.87,60.46,63.05,59.16,60.04,61.26,81.09,102.17,59.49,62.3,82.22,85.7,LW_net,2076_2100
VIII,NA,68.24,80.56,75.61,81.27,78.45,78.8,65.47,67.82,63.34,55.97,57.24,84.75,99.56,63.14,59.9,80.14,86.6,LW_net,2076_2100
IX,NA,65.05,72,70.77,71.18,72.25,67.55,61.19,61.86,59.43,53.31,51.86,74.66,74.76,59.59,55.06,73.62,74.69,LW_net,2076_2100
X,NA,55.17,52.65,55.01,53.45,55.03,52.36,50.21,50.82,48.61,48.76,40.84,57.18,54.37,44.58,45.49,56.46,54.98,LW_net,2076_2100
XI,NA,32.84,31.79,39.19,41.87,41.22,40.63,36.88,37.95,37.05,38.09,30.57,36.69,45.44,28.66,35.88,42.61,42.27,LW_net,2076_2100
XII,NA,24.31,25.77,32.41,36.07,33.85,34.16,31.05,32.19,29.94,31.11,25.14,26.67,43.16,23.94,37.88,35.36,35.57,LW_net,2076_2100
I,57.462,NA,76.023,69.632,52.801,60.332,54.016,59.1,57.804,58.754,65.237,66.706,65.49,53.288,70.931,62.283,74.185,57.786,P,1981_2005
II,51.047,NA,53.698,62.616,44.914,47.789,47.851,47.143,46.7,52.671,47.48,50.265,61.83,47.777,60.486,61.482,62.303,43.17,P,1981_2005
III,63.407,NA,56.615,63.282,40.031,48.782,54.751,58.306,62.154,50.476,50.064,60.344,61.92,59.3,68.772,64.191,60.364,46.464,P,1981_2005
IV,63.022,NA,59.324,60.294,57.852,49.832,63.108,58.447,66.522,62.683,57.909,62.893,63.771,67.148,74.881,63.19,64.604,49.457,P,1981_2005
V,80.323,NA,80.528,76.877,71.633,76.24,67.488,76.95,78.279,87.864,79.366,75.285,77.78,86.709,90.83,84.266,83.045,65.088,P,1981_2005
VI,91.552,NA,79.167,86.19,87.411,87.886,69.048,86.014,80.073,86.376,91.768,92.335,81.361,79.113,98.045,97.778,78.179,77.574,P,1981_2005
VII,97.963,NA,65.93,74.115,67.432,77.959,59.14,89.539,78.904,77.604,98.344,103.72,81.172,44.777,86.157,99.285,61.597,69.898,P,1981_2005
VIII,84.444,NA,56.908,54.888,65.202,59.534,56.888,70.825,74.226,70.703,95.509,104.77,73.966,36.75,70.095,86.932,52.728,68.548,P,1981_2005
IX,71.716,NA,53.322,47.889,46.379,55.728,55.018,51.738,57.866,59.696,76.174,80.594,47.434,58.523,67.651,68.726,41.788,47.054,P,1981_2005
X,56.987,NA,76.162,63.6,52.483,52.701,66.919,59.433,56.022,54.332,59.657,67.272,51.04,64.1,68.452,71.066,63.31,47.518,P,1981_2005
XI,59.905,NA,84.497,62.806,59.169,60.013,61.924,62.074,68.741,60.357,64.681,72.969,63.907,67.886,84.327,70.868,67.181,55.328,P,1981_2005
XII,65.809,NA,72.361,74.02,57.294,62.866,64.083,66.282,66.81,57.475,63.371,76.047,69.961,67.004,77.402,72.907,70.421,57.665,P,1981_2005
I,NA,NA,85.228,79.057,75.277,73.539,77.536,73.285,70.876,78.237,68.533,72.351,76.47,72.054,83.001,66.238,72.348,81.979,P,2076_2100
II,NA,NA,66.325,71.438,58.389,57.79,62.473,63.762,70.021,56.36,48.694,68.304,71.344,65.782,78.038,58.661,77.058,70.83,P,2076_2100
III,NA,NA,68.078,78.034,56.585,61.849,73.859,82.196,76.76,75.832,52.545,64.218,88.212,63.605,92.756,62.672,64.102,63.763,P,2076_2100
IV,NA,NA,75.502,61.345,56.585,62.154,68.717,85.605,76.12,85.894,70.447,76.747,74.773,73.536,95.387,73.301,61.316,53.306,P,2076_2100
V,NA,NA,71.882,72.097,72.338,69.238,72.19,89.574,85.584,93.484,83.477,73.232,82.322,91.995,90.951,87.863,71.559,66.494,P,2076_2100
VI,NA,NA,63.392,66.441,64.004,75.017,64.078,82.211,77.982,85.367,81.835,84.784,69.527,65.072,87.265,94.582,68.244,56.996,P,2076_2100
VII,NA,NA,49.028,46.771,47.306,49.272,64.656,70.328,65.302,71.367,89.794,95.411,52.687,31.808,63.367,82.779,30.799,31.135,P,2076_2100
VIII,NA,NA,33.685,31.211,36.198,38.343,46.592,56.605,49.414,63.479,92.546,87.402,28.325,28.613,51.708,69.841,30.212,27.903,P,2076_2100
IX,NA,NA,40.272,38.696,38.999,33.176,59.116,45.837,57.441,56.809,84.405,71.158,28.02,47.949,56.94,66.908,36.565,32.05,P,2076_2100
X,NA,NA,69.799,59.518,53.813,48.908,77.471,66.146,64.448,74.323,84.977,73.484,45.622,72.492,67.448,85.508,57.681,54.133,P,2076_2100
XI,NA,NA,88.911,84.034,63.839,69.862,74.274,71.996,73.271,77.417,78.384,77.15,65.999,75.4,81.012,88.592,62.397,67.43,P,2076_2100
XII,NA,NA,89.778,94.661,68.035,69.868,66.806,78.941,74.853,75.377,83.399,84.844,76.099,77.565,90.71,69.285,78.192,82.336,P,2076_2100
I,-1.38,-1.3262,-0.60099,1.0048,0.86976,1.2063,-4.1974,-2.2676,-2.0048,-2.6778,-3.2527,-2.315,-2.6199,-2.1763,-2.1426,0.53284,-0.062839,1.5608,Ta,1981_2005
II,-0.64,-1.0784,-0.66832,2.6912,1.7158,0.82453,-4.5783,-2.6946,-0.43657,-1.6936,-2.5329,-2.5496,-1.3848,-0.87785,-1.9176,2.1759,1.843,2.6852,Ta,1981_2005
III,3.2,2.3942,2.5017,5.2978,4.7929,3.7005,1.18,1.2958,2.5637,1.9345,0.93513,0.24398,1.287,2.5528,1.9832,4.0249,4.8858,5.5425,Ta,1981_2005
IV,7.62,7.0651,6.3162,9.2255,8.4659,8.6493,6.7564,6.1309,7.9963,7.1256,6.2715,3.8323,5.5219,8.4613,6.8105,7.6332,8.1036,9.0756,Ta,1981_2005
V,12.99,12.553,10.967,13.736,12.656,12.801,11.542,11.289,12.546,11.804,11.41,10.421,10.881,13.315,12.212,12.603,12.695,13.815,Ta,1981_2005
VI,15.72,16.115,15.41,17.297,16.762,16.813,16.131,15.264,16.764,15.684,15.503,16.287,15.377,16.692,15.666,16.726,15.733,17.571,Ta,1981_2005
VII,17.9,17.95,17.626,18.055,19.605,19.724,18.657,16.56,18.397,17.518,17.004,17.67,17.532,20.221,17.366,18.336,17.646,19.868,Ta,1981_2005
VIII,17.84,17.745,16.853,18.39,19.366,18.307,18.005,15.97,17.119,16.623,15.819,16.008,16.256,19.366,16.508,17.038,18.212,18.72,Ta,1981_2005
IX,13.62,14.806,12.947,15.728,15.188,14.298,14.02,13.369,14.879,13.75,12.69,12.511,13.49,12.874,13.273,13.81,15.117,13.983,Ta,1981_2005
X,9.07,9.0144,7.8293,10.688,9.4406,8.9857,7.897,8.1612,9.2887,9.3416,7.6515,7.5994,7.871,7.8499,8.1758,9.4193,9.4469,8.9188,Ta,1981_2005
XI,3.26,3.716,3.1909,5.565,5.0217,4.5774,2.4611,2.1231,3.5831,3.385,2.2957,2.4799,2.9254,4.1017,2.192,5.0172,4.2313,5.2858,Ta,1981_2005
XII,-0.31,0.44674,1.1219,2.4517,2.4913,2.2898,-2.2318,-2.1517,-0.11651,-1.0974,-2.3037,-0.37566,-1.7943,0.26015,-1.1694,1.7966,1.2349,2.0744,Ta,1981_2005
I,NA,4.6094,3.1067,5.4241,5.88,5.5129,2.4882,4.3955,4.6004,3.8855,2.5648,2.5774,3.9969,2.8287,2.2267,4.5868,3.1524,5.6394,Ta,2076_2100
II,NA,4.6233,3.6199,5.8999,6.6442,6.6058,3.0375,5.2597,5.0881,4.1833,3.5716,2.7355,4.0137,3.0711,3.3989,5.9269,4.8877,6.7023,Ta,2076_2100
