"VPD","ET","label","model","PERIOD"
NA,NA,"H_RACMO","CMIP5","1981_2005"
NA,NA,"H_RCA","CMIP5","1981_2005"
NA,NA,"I_RCA","CMIP5","1981_2005"
NA,NA,"M_CLM","CMIP5","1981_2005"
NA,NA,"M_RCA","CMIP5","1981_2005"
NA,NA,"TAI","CMIP5","1981_2005"
NA,NA,"CESM-B","CMIP6","1981_2005"
NA,NA,"CESM-C","CMIP6","1981_2005"
NA,NA,"CMCC-CESM","CMIP6","1981_2005"
NA,NA,"CMCC-CMS","CMIP6","1981_2005"
NA,NA,"C_RCA","CMIP6","1981_2005"
NA,NA,"E_HIRHAM","CMIP6","1981_2005"
NA,NA,"E_RACMO","CMIP6","1981_2005"
NA,NA,"E_RCA","CMIP6","1981_2005"
NA,NA,"GFDL-C","CMIP6","1981_2005"
NA,NA,"GFDL-E","CMIP6","1981_2005"
NA,NA,"H_RACMO","CMIP6","1981_2005"
NA,NA,"H_RCA","CMIP6","1981_2005"
NA,NA,"I_RCA","CMIP6","1981_2005"
NA,NA,"M_CLM","CMIP6","1981_2005"
NA,NA,"M_RCA","CMIP6","1981_2005"
NA,NA,"AWI","EUR-44","1981_2005"
NA,NA,"BCC","EUR-44","1981_2005"
NA,NA,"CESM-B","EUR-44","1981_2005"
NA,NA,"CESM-C","EUR-44","1981_2005"
NA,NA,"CESM2","EUR-44","1981_2005"
NA,NA,"CMCC-CESM","EUR-44","1981_2005"
NA,NA,"CMCC-CMS","EUR-44","1981_2005"
NA,NA,"CMCC_C","EUR-44","1981_2005"
NA,NA,"CMCC_E","EUR-44","1981_2005"
NA,NA,"CNRM","EUR-44","1981_2005"
NA,NA,"EARTH","EUR-44","1981_2005"
NA,NA,"EARTH_C","EUR-44","1981_2005"
NA,NA,"EARTH_V","EUR-44","1981_2005"
NA,NA,"GFDL-C","EUR-44","1981_2005"
NA,NA,"GFDL-E","EUR-44","1981_2005"
NA,NA,"GFDL_C","EUR-44","1981_2005"
NA,NA,"GFDL_E","EUR-44","1981_2005"
NA,NA,"HADGEM","EUR-44","1981_2005"
NA,NA,"INM","EUR-44","1981_2005"
NA,NA,"IPSL","EUR-44","1981_2005"
NA,NA,"MPI","EUR-44","1981_2005"
NA,NA,"MRI","EUR-44","1981_2005"
NA,NA,"NOR","EUR-44","1981_2005"
NA,NA,"TAI","EUR-44","1981_2005"
NA,NA,"AWI","CMIP5","2076_2100"
NA,NA,"CESM2","CMIP5","2076_2100"
NA,NA,"CMCC_C","CMIP5","2076_2100"
NA,NA,"CMCC_E","CMIP5","2076_2100"
NA,NA,"C_RCA","CMIP5","2076_2100"
NA,NA,"EARTH_C","CMIP5","2076_2100"
NA,NA,"EARTH_V","CMIP5","2076_2100"
NA,NA,"E_HIRHAM","CMIP5","2076_2100"
NA,NA,"E_RACMO","CMIP5","2076_2100"
NA,NA,"E_RCA","CMIP5","2076_2100"
NA,NA,"GFDL_C","CMIP5","2076_2100"
NA,NA,"GFDL_E","CMIP5","2076_2100"
NA,NA,"H_RACMO","CMIP5","2076_2100"
NA,NA,"H_RCA","CMIP5","2076_2100"
NA,NA,"I_RCA","CMIP5","2076_2100"
NA,NA,"M_CLM","CMIP5","2076_2100"
NA,NA,"M_RCA","CMIP5","2076_2100"
NA,NA,"TAI","CMIP5","2076_2100"
NA,NA,"CESM-B","CMIP6","2076_2100"
NA,NA,"CESM-C","CMIP6","2076_2100"
NA,NA,"CMCC-CESM","CMIP6","2076_2100"
NA,NA,"CMCC-CMS","CMIP6","2076_2100"
NA,NA,"C_RCA","CMIP6","2076_2100"
NA,NA,"E_HIRHAM","CMIP6","2076_2100"
NA,NA,"E_RACMO","CMIP6","2076_2100"
NA,NA,"E_RCA","CMIP6","2076_2100"
NA,NA,"GFDL-C","CMIP6","2076_2100"
NA,NA,"GFDL-E","CMIP6","2076_2100"
NA,NA,"H_RACMO","CMIP6","2076_2100"
NA,NA,"H_RCA","CMIP6","2076_2100"
NA,NA,"I_RCA","CMIP6","2076_2100"
NA,NA,"M_CLM","CMIP6","2076_2100"
NA,NA,"M_RCA","CMIP6","2076_2100"
NA,NA,"AWI","EUR-44","2076_2100"
NA,NA,"BCC","EUR-44","2076_2100"
NA,NA,"CESM-B","EUR-44","2076_2100"
NA,NA,"CESM-C","EUR-44","2076_2100"
NA,NA,"CESM2","EUR-44","2076_2100"
NA,NA,"CMCC-CESM","EUR-44","2076_2100"
NA,NA,"CMCC-CMS","EUR-44","2076_2100"
NA,NA,"CMCC_C","EUR-44","2076_2100"
NA,NA,"CMCC_E","EUR-44","2076_2100"
NA,NA,"CNRM","EUR-44","2076_2100"
NA,NA,"EARTH","EUR-44","2076_2100"
NA,NA,"EARTH_C","EUR-44","2076_2100"
NA,NA,"EARTH_V","EUR-44","2076_2100"
NA,NA,"GFDL-C","EUR-44","2076_2100"
NA,NA,"GFDL-E","EUR-44","2076_2100"
NA,NA,"GFDL_C","EUR-44","2076_2100"
NA,NA,"GFDL_E","EUR-44","2076_2100"
NA,NA,"HADGEM","EUR-44","2076_2100"
NA,NA,"INM","EUR-44","2076_2100"
NA,NA,"IPSL","EUR-44","2076_2100"
NA,NA,"MPI","EUR-44","2076_2100"
NA,NA,"MRI","EUR-44","2076_2100"
NA,NA,"NOR","EUR-44","2076_2100"
NA,NA,"TAI","EUR-44","2076_2100"
