"VPD","ET","P","Ta","label","model","PERIOD"
0.234644633370508,687.284399745809,903.45652073,8.33042995208761,"AWI","CMIP6","1981_2005"
0.281103526365013,572.614767981806,814.535,7.83649054072553,"BCC","CMIP6","1981_2005"
NA,NA,NA,NA,"CESM-B","CMIP6","1981_2005"
NA,NA,NA,NA,"CESM-C","CMIP6","1981_2005"
0.374452756186564,499.116952254877,796.209,10.044664476386,"CESM2","CMIP6","1981_2005"
NA,NA,NA,NA,"CMCC-CESM","CMIP6","1981_2005"
NA,NA,NA,NA,"CMCC-CMS","CMIP6","1981_2005"
0.346567055691894,543.161406512935,702.601,9.73981577002053,"CMCC_C","CMIP6","1981_2005"
0.331066751919015,545.105877579339,739.662,9.39320266255989,"CMCC_E","CMIP6","1981_2005"
0.364413494689334,499.421174091813,720.234,7.19541088295688,"CNRM","CMIP6","1981_2005"
NA,NA,NA,NA,"C_RCA","CMIP6","1981_2005"
0.270530159805879,586.4604077821,785.851,6.96795414099932,"EARTH","CMIP6","1981_2005"
0.300942931442618,617.838066562518,794.101,8.42142282683094,"EARTH_C","CMIP6","1981_2005"
0.281153544003017,602.717489751875,778.991,7.68601423682409,"EARTH_V","CMIP6","1981_2005"
NA,NA,NA,NA,"E_HIRHAM","CMIP6","1981_2005"
NA,NA,NA,NA,"E_RACMO","CMIP6","1981_2005"
NA,NA,NA,NA,"E_RCA","CMIP6","1981_2005"
NA,NA,NA,NA,"GFDL-C","CMIP6","1981_2005"
NA,NA,NA,NA,"GFDL-E","CMIP6","1981_2005"
0.218336223597667,609.86502029207,849.56,6.83480275154004,"GFDL_C","CMIP6","1981_2005"
0.172395747518681,591.809141269437,913.2,6.86675734428474,"GFDL_E","CMIP6","1981_2005"
0.249143069365531,605.018598753775,799.632,7.15155427789185,"HADGEM","CMIP6","1981_2005"
NA,NA,NA,NA,"H_RACMO","CMIP6","1981_2005"
NA,NA,NA,NA,"H_RCA","CMIP6","1981_2005"
0.443445775667534,579.125227206441,732.375,8.60264418206708,"INM","CMIP6","1981_2005"
0.31908296633042,542.313434230221,808.093,8.15954825462012,"IPSL","CMIP6","1981_2005"
NA,NA,NA,NA,"I_RCA","CMIP6","1981_2005"
0.1996009258083,686.861325156813,918.029,7.46063189596167,"MPI","CMIP6","1981_2005"
0.296021884178777,590.580982484885,902.974,9.12616294318959,"MRI","CMIP6","1981_2005"
NA,NA,NA,NA,"M_CLM","CMIP6","1981_2005"
NA,NA,NA,NA,"M_RCA","CMIP6","1981_2005"
0.369727028677286,496.534438729809,779.705,9.12635822313484,"NOR","CMIP6","1981_2005"
0.381926711509481,526.008725378048,685.55,9.96250075290897,"TAI","CMIP6","1981_2005"
NA,NA,NA,NA,"AWI","EUR-44","1981_2005"
NA,NA,NA,NA,"BCC","EUR-44","1981_2005"
NA,NA,NA,NA,"CESM-B","EUR-44","1981_2005"
NA,NA,NA,NA,"CESM-C","EUR-44","1981_2005"
NA,NA,NA,NA,"CESM2","EUR-44","1981_2005"
NA,NA,NA,NA,"CMCC-CESM","EUR-44","1981_2005"
NA,NA,NA,NA,"CMCC-CMS","EUR-44","1981_2005"
NA,NA,NA,NA,"CMCC_C","EUR-44","1981_2005"
NA,NA,NA,NA,"CMCC_E","EUR-44","1981_2005"
NA,NA,NA,NA,"CNRM","EUR-44","1981_2005"
0.209106449851609,632.402211581668,1018.639,6.7441646954141,"C_RCA","EUR-44","1981_2005"
NA,NA,NA,NA,"EARTH","EUR-44","1981_2005"
NA,NA,NA,NA,"EARTH_C","EUR-44","1981_2005"
NA,NA,NA,NA,"EARTH_V","EUR-44","1981_2005"
0.26104900989127,476.111102947845,892.468,7.4348366659822,"E_HIRHAM","EUR-44","1981_2005"
0.261952893252485,434.987412490994,758.269,6.81418130047912,"E_RACMO","EUR-44","1981_2005"
0.238106383925655,612.047472991345,862.28,7.18475623545517,"E_RCA","EUR-44","1981_2005"
NA,NA,NA,NA,"GFDL-C","EUR-44","1981_2005"
NA,NA,NA,NA,"GFDL-E","EUR-44","1981_2005"
NA,NA,NA,NA,"GFDL_C","EUR-44","1981_2005"
NA,NA,NA,NA,"GFDL_E","EUR-44","1981_2005"
NA,NA,NA,NA,"HADGEM","EUR-44","1981_2005"
