feature,med_delta_ET,lo_ET,hi_ET,med_delta_geff,lo_geff,hi_geff,B
CO2_term,0,0,0,0,0,0,1000
P,41.39207848061408,38.0339209654999,44.54679963599922,0.5269578130609336,0.4802805703602919,0.5746854412721794,1000
Rg,11.559834014173106,9.800384606461307,13.18137128269739,0.1386345175963008,0.11071984421440795,0.16388415141893356,1000
Ta,2.1567069186253285,1.368970797068691,2.867835023760424,0.0015586030520680083,-0.008005367893785031,0.011192670373109281,1000
VPD,4.705976509693983,3.1168427066803037,6.208787402315183,2.769709521069264,2.642769640485092,2.901677212618209,1000
