label,med_delta_ET,lo_ET,hi_ET
VPD[stomatal],43.6802934425986,42.14700921277879,45.40057743893764
VPD[demand],41.250582593228046,39.57047039000179,42.96013838812215
P,6.730603804789945,6.272796382983541,7.265959817192048
T[a],4.5439173748327075,4.1387562126661575,4.981260885639586
R[g],3.688932661388101,3.4200282683884895,3.9680943554254537
