label,med_delta_ET,lo_ET,hi_ET
VPD[demand],46.28602640480881,44.53084147070055,48.25207575492466
VPD[stomatal],45.87425053381021,44.054493099366205,47.51545230325231
P,5.873452797580221,5.3728575418831674,6.4336314023656875
R[g],1.6380797763430184,1.4013705119014006,1.8819440004877945
T[a],0.30679097382103837,0.1955594581183632,0.4138486094935543
CO[2],0,0,0
